Source,Type,Site,ID,plotID,treeNumber,Species,Latin.name,h.Code,Tree
FTC,Mature,BF,BF_M1,BFMature1110,,Cow parsley,Anthriscus sylvestris,Generalist,0
FTC,Mature,BF,BF_M1,BFMature11210,,Cowslip,Primula veris,Generalist,0
FTC,Mature,BF,BF_M1,BFMature11210,,Black bryony,Tamus communis,Specialist,0
FTC,Mature,BF,BF_M1,BFMature11210,,Cow parsley,Anthriscus sylvestris,Generalist,0
FTC,Mature,BF,BF_M1,BFMature1210,,Stickyweed,Galium aparine,Generalist,0
FTC,Mature,BF,BF_M1,BFMature12210,,Lords and ladies,Arum maculatum,Specialist,0
FTC,Mature,BF,BF_M1,BFMature13125,,Wood avens,Geum urbanum,Generalist,0
FTC,Mature,BF,BF_M1,BFMature13125,,Cocks foot,Dactylis glomerata,Generalist,0
FTC,Mature,BF,BF_M1,BFMature13125,,Garlic mustard,Alliaria petiolata,Generalist,0
FTC,Mature,BF,BF_M1,BFMature13125,,Ground ivy,Glechoma hederacea,Generalist,0
FTC,Mature,BF,BF_M1,BFMature13125,,Wood avens,Geum urbanum,Generalist,0
FTC,Mature,BF,BF_M1,BFMature13235,,Ivy,Hedera helix,Generalist,0
FTC,Mature,BF,BF_M1,BFMature13235,,Ash,Fraxinus excelsior,Non-woodland,1
FTC,Mature,BF,BF_M1,BFMature13235,,Lords and ladies,Arum maculatum,Specialist,0
FTC,Mature,BF,BF_M1,BFMature13235,,Spurge laurel,Daphne laureola,Specialist,0
FTC,Mature,BF,BF_M1,BFMature13235,,Garlic mustard,Alliaria petiolata,Generalist,0
FTC,Mature,BF,BF_M1,BFMature14125,,False brome,Brachypodium sylvaticum,Specialist,0
FTC,Mature,BF,BF_M1,BFMature14125,,Cowslip,Primula veris,Generalist,0
FTC,Mature,BF,BF_M1,BFMature14125,,Lords and ladies,Arum maculatum,Specialist,0
FTC,Mature,BF,BF_M1,BFMature14235,,Cowslip,Primula veris,Generalist,0
FTC,Mature,BF,BF_M1,BFMature14235,,Stickyweed,Galium aparine,Generalist,0
FTC,Mature,BF,BF_M1,BFMature15150,,Cowslip,Primula veris,Generalist,0
FTC,Mature,BF,BF_M1,BFMature15150,,Hogweed,Heracleum sphondylium,Generalist,0
FTC,Mature,BF,BF_M1,BFMature15150,,Ivy,Hedera helix,Generalist,0
FTC,Mature,BF,BF_M1,BFMature15150,,Hogweed,Heracleum sphondylium,Generalist,0
FTC,Mature,BF,BF_M1,BFMature15260,,Ground ivy,Glechoma hederacea,Generalist,0
FTC,Mature,BF,BF_M1,BFMature15260,,Cow parsley,Anthriscus sylvestris,Generalist,0
FTC,Mature,BF,BF_M1,BFMature15260,,Herb robert,Geranium robertianum,Specialist,0
FTC,Mature,BF,BF_M1,BFMature15260,,Unknown seedling,,Non-woodland,1
FTC,Mature,BF,BF_M1,BFMature16150,,Ash,Fraxinus excelsior,Non-woodland,1
FTC,Mature,BF,BF_M1,BFMature16260,,Rough meadow grass,Poa trivalis,Non-woodland,0
FTC,Mature,BF,BF_M1,BFMature2110,,N/A,NA,Non-woodland,0
FTC,Mature,BF,BF_M1,BFMature21210,,N/A,NA,Non-woodland,0
FTC,Mature,BF,BF_M1,BFMature2210,,N/A,NA,Non-woodland,0
FTC,Mature,BF,BF_M1,BFMature22210,,Dandelion,Taraxacum sp.,Non-woodland,0
FTC,Mature,BF,BF_M1,BFMature23125,,N/A,NA,Non-woodland,0
FTC,Mature,BF,BF_M1,BFMature23235,,Stinging nettle,Urtica dioica,Generalist,0
FTC,Mature,BF,BF_M1,BFMature24125,,Enchanters nightshade,Circaea lutetiana,Generalist,0
