Site_ID,Year,Country,Date,Collection_no,No_of_traps,Species,Count,Species_occ
164440,2014,2,03/07/2014,1,7,Agyneta.olivacea,0,0
164440,2014,2,17/07/2014,2,7,Agyneta.olivacea,0,0
164440,2014,2,31/07/2014,3,7,Agyneta.olivacea,0,0
164440,2014,2,14/08/2014,4,7,Agyneta.olivacea,0,0
164440,2014,2,28/08/2014,5,7,Agyneta.olivacea,0,0
1694,2014,2,04/07/2014,1,10,Agyneta.olivacea,0,0
1694,2014,2,18/07/2014,2,10,Agyneta.olivacea,0,0
1694,2014,2,01/08/2014,3,10,Agyneta.olivacea,0,0
1694,2014,2,15/08/2014,4,10,Agyneta.olivacea,0,0
1694,2014,2,29/08/2014,5,10,Agyneta.olivacea,0,0
1747,2014,2,04/07/2014,1,11,Agyneta.olivacea,0,0
1747,2014,2,18/07/2014,2,11,Agyneta.olivacea,0,0
1747,2014,2,01/08/2014,3,11,Agyneta.olivacea,0,0
1747,2014,2,15/08/2014,4,11,Agyneta.olivacea,0,0
1747,2014,2,29/08/2014,5,11,Agyneta.olivacea,0,0
182014,2014,1,04/07/2014,1,9,Agyneta.olivacea,0,0
182014,2014,1,18/07/2014,2,9,Agyneta.olivacea,0,0
182014,2014,1,01/08/2014,3,9,Agyneta.olivacea,0,0
182014,2014,1,15/08/2014,4,9,Agyneta.olivacea,0,0
182014,2014,1,29/08/2014,5,9,Agyneta.olivacea,0,0
182458,2014,1,04/07/2014,1,6,Agyneta.olivacea,0,0
182458,2014,1,18/07/2014,2,6,Agyneta.olivacea,0,0
182458,2014,1,01/08/2014,3,6,Agyneta.olivacea,0,0
182458,2014,1,15/08/2014,4,6,Agyneta.olivacea,0,0
182458,2014,1,29/08/2014,5,6,Agyneta.olivacea,0,0
1827,2014,2,04/07/2014,1,15,Agyneta.olivacea,0,0
1827,2014,2,18/07/2014,2,15,Agyneta.olivacea,0,0
1827,2014,2,01/08/2014,3,15,Agyneta.olivacea,0,0
1827,2014,2,15/08/2014,4,15,Agyneta.olivacea,0,0
1827,2014,2,29/08/2014,5,15,Agyneta.olivacea,0,0
186449,2014,1,02/07/2014,1,7,Agyneta.olivacea,0,0
186449,2014,1,16/07/2014,2,7,Agyneta.olivacea,0,0
186449,2014,1,30/07/2014,3,7,Agyneta.olivacea,0,0
186449,2014,1,13/08/2014,4,7,Agyneta.olivacea,0,0
186449,2014,1,27/08/2014,5,7,Agyneta.olivacea,0,0
186460,2014,1,02/07/2014,1,8,Agyneta.olivacea,0,0
186460,2014,1,16/07/2014,2,8,Agyneta.olivacea,0,0
186460,2014,1,30/07/2014,3,8,Agyneta.olivacea,0,0
186460,2014,1,13/08/2014,4,8,Agyneta.olivacea,0,0
186460,2014,1,27/08/2014,5,8,Agyneta.olivacea,0,0
186969,2014,1,02/07/2014,1,8,Agyneta.olivacea,0,0
186969,2014,1,16/07/2014,2,8,Agyneta.olivacea,0,0
