Site,Under.cover
428,1.8
428,1.8
428,1.8
656,0
656,0
656,0
782,3.7
782,3.7
782,3.7
789,0.4
789,0.4
789,0.4
1223,3.4
1223,3.4
1223,3.4
1229,0
1229,0
1229,0
1694,0
1694,0
1694,0
1726,5.3
1726,5.3
1726,5.3
1747,0.3
1747,0.3
1747,0.3
1780,0
1780,0
1780,0
1827,0
1827,0
1827,0
1954,1.7
1954,1.7
1954,1.7
2452,0
2452,0
2452,0
2481,1.2
2481,1.2
2481,1.2
2615,0.2
2615,0.2
2615,0.2
2654,0
2654,0
2654,0
3300,0
3300,0
3300,0
3319,7
3319,7
3319,7
3372,0
3372,0
3372,0
3393,2
3393,2
3393,2
3427,1.2
3427,1.2
3427,1.2
3456,0.6
3456,0.6
3456,0.6
3484,2.2
3484,2.2
3484,2.2
3485,2
3485,2
3485,2
3499,1
3499,1
3499,1
3527,1
3527,1
3527,1
3544,1.8
3544,1.8
3544,1.8
3566,4
3566,4
3566,4
3587,2.6
3587,2.6
3587,2.6
3593,2.4
3593,2.4
3593,2.4
3655,1
3655,1
3655,1
3658,8
3658,8
3658,8
3686,1
3686,1
3686,1
3705,0
3705,0
3705,0
3739,3
3739,3
3739,3
3740,0.6
3740,0.6
3740,0.6
3799,1.3
3799,1.3
3799,1.3
3816,0
3816,0
3816,0
3877,0
3877,0
3877,0
3953,0
3953,0
3953,0
4070,0.8
4070,0.8
4070,0.8
4132,2.3
4132,2.3
4132,2.3
4153,0
4153,0
4153,0
4219,0
4219,0
4219,0
4239,0
4239,0
4239,0
4251,2.2
4251,2.2
4251,2.2
4262,1
4262,1
4262,1
4277,1
4277,1
4277,1
4282,6.6
4282,6.6
4282,6.6
4287,0
4287,0
4287,0
4763,0.2
4763,0.2
4763,0.2
4769,0
4769,0
4769,0
5001,0.1
5001,0.1
5001,0.1
5140,0
5140,0
5140,0
5147,0.2
5147,0.2
5147,0.2
7240,0.1
7240,0.1
7240,0.1
7433,0.4
7433,0.4
7433,0.4
8197,0
8197,0
8197,0
8506,0
8506,0
8506,0
9272,2
9272,2
9272,2
9789,0
9789,0
9789,0
10907,0.8
10907,0.8
10907,0.8
16891,0.7
16891,0.7
16891,0.7
56429,1
56429,1
56429,1
164440,0.2
164440,0.2
164440,0.2
182014,4
182014,4
182014,4
182458,1.2
182458,1.2
182458,1.2
183278,1
183278,1
183278,1
183479,1
183479,1
183479,1
186253,1.2
186253,1.2
186253,1.2
186449,2
186449,2
186449,2
186460,3.4
186460,3.4
186460,3.4
186969,2.4
186969,2.4
186969,2.4
187270,4.4
187270,4.4
187270,4.4
187943,6.2
187943,6.2
187943,6.2
188912,3.1
188912,3.1
188912,3.1
189455,2.8
189455,2.8
189455,2.8
189594,3.7
189594,3.7
189594,3.7
189646,5.7
189646,5.7
189646,5.7
189934,5.8
189934,5.8
189934,5.8
190325,4.7
190325,4.7
190325,4.7
190457,7.8
190457,7.8
190457,7.8
190783,3
190783,3
190783,3
191362,2.3
191362,2.3
191362,2.3
192053,3.6
192053,3.6
192053,3.6
192417,4.6
192417,4.6
192417,4.6
192446,2.5
192446,2.5
192446,2.5
194918,7.3
194918,7.3
194918,7.3
299021,4.7
299021,4.7
299021,4.7
305284,5.2
305284,5.2
305284,5.2
WT4509,3.2
WT4509,3.2
WT4509,3.2
WT4688,2.9
WT4688,2.9
WT4688,2.9
WT4691,4.3
WT4691,4.3
WT4691,4.3
WT4832,1.1
WT4832,1.1
WT4832,1.1
WT4945,1
WT4945,1
WT4945,1
WT4975,2.5
WT4975,2.5
WT4975,2.5
WT5163,4
WT5163,4
WT5163,4
WT5210,1
WT5210,1
WT5210,1
WT5226,4.57
WT5226,4.57
WT5226,4.57
WT5231,1
WT5231,1
WT5231,1
WT5233,3.2
WT5233,3.2
WT5233,3.2
WT5291,4.3
WT5291,4.3
WT5291,4.3
,
