Source,Type,Site,ID,plotID,Species,dbh
FTC,Mature,BF,BF_M1,BFMature115,Salix sp.,31.8
FTC,Mature,BF,BF_M1,BFMature115,Fraxinus excelsior,21.3
FTC,Mature,BF,BF_M1,BFMature115,Prunus avium,22.8
FTC,Mature,BF,BF_M1,BFMature115,Fagus sylvatica,9.8
FTC,Mature,BF,BF_M1,BFMature115,Fraxinus excelsior,17.8
FTC,Mature,BF,BF_M1,BFMature115,Tilia sp.,12.5
FTC,Mature,BF,BF_M1,BFMature115,Prunus avium,16.3
FTC,Mature,BF,BF_M1,BFMature115,Fraxinus excelsior,22.9
FTC,Mature,BF,BF_M1,BFMature115,Prunus avium,7.1
FTC,Mature,BF,BF_M1,BFMature115,Prunus avium,13.8
FTC,Mature,BF,BF_M1,BFMature115,Fraxinus excelsior,24.7
FTC,Mature,BF,BF_M1,BFMature125,Tilia x europaea,7.3
FTC,Mature,BF,BF_M1,BFMature125,Fraxinus excelsior,28.5
FTC,Mature,BF,BF_M1,BFMature125,Crataegus monogyna,11.3
FTC,Mature,BF,BF_M1,BFMature125,Crataegus monogyna,9.5
FTC,Mature,BF,BF_M1,BFMature125,Crataegus monogyna,22.8
FTC,Mature,BF,BF_M1,BFMature125,Crataegus monogyna,13.5
FTC,Mature,BF,BF_M1,BFMature125,Prunus spinosa,10.1
FTC,Mature,BF,BF_M1,BFMature125,Prunus spinosa,9.2
FTC,Mature,BF,BF_M1,BFMature125,Prunus spinosa,9
FTC,Mature,BF,BF_M1,BFMature125,Prunus avium,18.3
FTC,Mature,BF,BF_M1,BFMature125,Fraxinus excelsior,16.8
FTC,Mature,BF,BF_M1,BFMature1330,Tilia sp.,NA
FTC,Mature,BF,BF_M1,BFMature1330,Tilia sp.,NA
FTC,Mature,BF,BF_M1,BFMature1330,Prunus avium,NA
FTC,Mature,BF,BF_M1,BFMature1330,Fraxinus excelsior,NA
FTC,Mature,BF,BF_M1,BFMature1330,Fraxinus excelsior,NA
FTC,Mature,BF,BF_M1,BFMature1330,Tilia sp.,NA
FTC,Mature,BF,BF_M1,BFMature1330,Laurus nobilis,NA
FTC,Mature,BF,BF_M1,BFMature1330,Laurus nobilis,NA
FTC,Mature,BF,BF_M1,BFMature1330,Laurus nobilis,NA
FTC,Mature,BF,BF_M1,BFMature1330,Laurus nobilis,NA
FTC,Mature,BF,BF_M1,BFMature1330,Laurus nobilis,NA
FTC,Mature,BF,BF_M1,BFMature1330,Fraxinus excelsior,NA
FTC,Mature,BF,BF_M1,BFMature1330,Fraxinus excelsior,NA
FTC,Mature,BF,BF_M1,BFMature1330,Laurus nobilis,NA
FTC,Mature,BF,BF_M1,BFMature1330,Fraxinus excelsior,NA
FTC,Mature,BF,BF_M1,BFMature1330,Fraxinus excelsior,NA
FTC,Mature,BF,BF_M1,BFMature1330,Fraxinus excelsior,NA
FTC,Mature,BF,BF_M1,BFMature1430,Acer pseudoplatanus,17.2
FTC,Mature,BF,BF_M1,BFMature1430,Fraxinus excelsior,22.9
FTC,Mature,BF,BF_M1,BFMature1430,Quercus sp.,19.3
FTC,Mature,BF,BF_M1,BFMature1430,Acer pseudoplatanus,12.8
FTC,Mature,BF,BF_M1,BFMature1430,Fraxinus excelsior,17.6
FTC,Mature,BF,BF_M1,BFMature1430,Prunus avium,19.5
FTC,Mature,BF,BF_M1,BFMature1430,Fraxinus excelsior,23.3
FTC,Mature,BF,BF_M1,BFMature1555,Pinopsida,21.8
FTC,Mature,BF,BF_M1,BFMature1555,Pinopsida,21.4
FTC,Mature,BF,BF_M1,BFMature1555,Prunus avium,21.3
FTC,Mature,BF,BF_M1,BFMature1555,Fraxinus excelsior,15.3
FTC,Mature,BF,BF_M1,BFMature1555,Fraxinus excelsior,20.6
FTC,Mature,BF,BF_M1,BFMature1555,Prunus avium,13.4
FTC,Mature,BF,BF_M1,BFMature1555,Fraxinus excelsior,21.9
FTC,Mature,BF,BF_M1,BFMature1555,Fraxinus excelsior,27.2
FTC,Mature,BF,BF_M1,BFMature1655,Fraxinus excelsior,13.7
FTC,Mature,BF,BF_M1,BFMature1655,Pinopsida,9.8
FTC,Mature,BF,BF_M1,BFMature1655,Pinopsida,9.9
FTC,Mature,BF,BF_M1,BFMature1655,Tilia sp.,9.1
FTC,Mature,BF,BF_M1,BFMature1655,Tilia sp.,12
FTC,Mature,BF,BF_M1,BFMature1655,Acer pseudoplatanus,8.3
FTC,Mature,BF,BF_M1,BFMature1655,Pinopsida,12.5
FTC,Mature,BF,BF_M1,BFMature1655,Fraxinus excelsior,17.2
FTC,Mature,BF,BF_M1,BFMature1655,Fagus sylvatica,8.6
FTC,Mature,BF,BF_M1,BFMature1655,Fraxinus excelsior,12.6
FTC,Mature,BF,BF_M1,BFMature1655,Fraxinus excelsior,22.5
FTC,Mature,BF,BF_M1,BFMature1655,Fraxinus excelsior,25.2
FTC,Mature,BF,BF_M1,BFMature1655,Fraxinus excelsior,23
FTC,Mature,BF,BF_M1,BFMature1655,Fraxinus excelsior,17
FTC,Mature,BF,BF_M1,BFMature1655,Fraxinus excelsior,19.2
FTC,Mature,BF,BF_M1,BFMature1655,Prunus avium,22.8
FTC,Mature,BF,BF_M1,BFMature1655,Pinopsida,10.4
FTC,Mature,BF,BF_M2,BFMature215,Acer pseudoplatanus,45.9
FTC,Mature,BF,BF_M2,BFMature215,Prunus sp.,8.5
FTC,Mature,BF,BF_M2,BFMature215,Acer pseudoplatanus,7.5
FTC,Mature,BF,BF_M2,BFMature215,Acer pseudoplatanus,39.9
FTC,Mature,BF,BF_M2,BFMature215,Fraxinus excelsior,9.8
FTC,Mature,BF,BF_M2,BFMature215,Acer pseudoplatanus,60.3
FTC,Mature,BF,BF_M2,BFMature225,Acer pseudoplatanus,7
FTC,Mature,BF,BF_M2,BFMature225,Acer pseudoplatanus,7.4
FTC,Mature,BF,BF_M2,BFMature225,Sambucus nigra,8.3
FTC,Mature,BF,BF_M2,BFMature225,Acer pseudoplatanus,42.2
FTC,Mature,BF,BF_M2,BFMature225,Acer pseudoplatanus,48.9
FTC,Mature,BF,BF_M2,BFMature225,Fraxinus excelsior,59.7
FTC,Mature,BF,BF_M2,BFMature2330,Fraxinus excelsior,56.6
FTC,Mature,BF,BF_M2,BFMature2330,Crataegus monogyna,9.8
FTC,Mature,BF,BF_M2,BFMature2330,Acer pseudoplatanus,40.8
FTC,Mature,BF,BF_M2,BFMature2430,Acer pseudoplatanus,30.2
FTC,Mature,BF,BF_M2,BFMature2555,Crataegus monogyna,7.2
FTC,Mature,BF,BF_M2,BFMature2555,Crataegus monogyna,9.8
FTC,Mature,BF,BF_M2,BFMature2555,Fraxinus excelsior,41.6
FTC,Mature,BF,BF_M2,BFMature2655,Acer pseudoplatanus,41.1
FTC,Mature,BF,BF_M2,BFMature2655,Fraxinus excelsior,35.9
FTC,PL,BF,BF_P1,BFPL115,Prunus spinosa,7
FTC,PL,BF,BF_P1,BFPL115,Prunus spinosa,9.9
FTC,PL,BF,BF_P1,BFPL115,Quercus sp.,9.1
FTC,PL,BF,BF_P1,BFPL115,Quercus sp.,7.6
FTC,PL,BF,BF_P1,BFPL115,Fraxinus excelsior,7
FTC,PL,BF,BF_P1,BFPL1330,Crataegus monogyna,8.4
FTC,PL,BF,BF_P1,BFPL1330,Crataegus monogyna,7.9
FTC,PL,BF,BF_P1,BFPL1330,Quercus sp.,8.9
FTC,PL,BF,BF_P1,BFPL1330,Salix sp.,9.4
FTC,PL,BF,BF_P1,BFPL1330,Salix sp.,8.7
FTC,PL,BF,BF_P1,BFPL1330,Salix sp.,8.8
FTC,PL,BF,BF_P1,BFPL1330,Quercus sp.,9.2
FTC,PL,BF,BF_P1,BFPL1430,Quercus sp.,8.6
FTC,PL,BF,BF_P1,BFPL1430,Quercus sp.,8.2
FTC,PL,BF,BF_P1,BFPL1430,Quercus sp.,10.2
FTC,PL,BF,BF_P1,BFPL1430,Quercus sp.,14.1
FTC,PL,BF,BF_P1,BFPL1430,Quercus sp.,10.8
FTC,PL,BF,BF_P1,BFPL1430,Quercus sp.,9.5
FTC,PL,BF,BF_P1,BFPL1430,Quercus sp.,9.8
FTC,PL,BF,BF_P1,BFPL1430,Quercus sp.,9.5
FTC,PL,BF,BF_P1,BFPL1430,Fraxinus excelsior,10.4
FTC,PL,BF,BF_P1,BFPL125,Quercus sp.,9.8
FTC,PL,BF,BF_P1,BFPL125,Quercus sp.,9.9
FTC,PL,BF,BF_P1,BFPL125,Fraxinus excelsior,8.5
FTC,PL,BF,BF_P1,BFPL125,Quercus sp.,9.2
FTC,PL,BF,BF_P1,BFPL1555,Alnus glutinosa,11
FTC,PL,BF,BF_P1,BFPL1555,Alnus glutinosa,16.2
FTC,PL,BF,BF_P1,BFPL1555,Fraxinus excelsior,9.6
FTC,PL,BF,BF_P1,BFPL1555,Alnus glutinosa,8.4
FTC,PL,BF,BF_P1,BFPL1555,Alnus glutinosa,8.3
FTC,PL,BF,BF_P1,BFPL1555,Alnus glutinosa,11.8
FTC,PL,BF,BF_P1,BFPL1555,Fraxinus excelsior,8.3
FTC,PL,BF,BF_P1,BFPL1555,Alnus glutinosa,11
FTC,PL,BF,BF_P1,BFPL1555,Fraxinus excelsior,7.4
FTC,PL,BF,BF_P1,BFPL1555,Fraxinus excelsior,14.6
FTC,PL,BF,BF_P1,BFPL1555,Fraxinus excelsior,11.8
FTC,PL,BF,BF_P1,BFPL1555,Fraxinus excelsior,13.6
FTC,PL,BF,BF_P1,BFPL1655,Alnus glutinosa,7.1
FTC,PL,BF,BF_P1,BFPL1655,Fraxinus excelsior,13.2
FTC,PL,BF,BF_P1,BFPL1655,Fraxinus excelsior,13.8
FTC,PL,BF,BF_P1,BFPL1655,Fraxinus excelsior,9.8
FTC,PL,BF,BF_P1,BFPL1655,Fraxinus excelsior,8.9
FTC,PL,BF,BF_P1,BFPL1655,Fraxinus excelsior,10.9
FTC,PL,BF,BF_P1,BFPL1655,Fraxinus excelsior,14.7
FTC,PL,BF,BF_P1,BFPL1655,Fraxinus excelsior,13.8
FTC,PL,BF,BF_P1,BFPL1655,Fraxinus excelsior,13.7
FTC,PL,BF,BF_P1,BFPL1655,Alnus glutinosa,9.4
FTC,PL,BF,BF_P1,BFPL1655,Alnus glutinosa,8.8
FTC,PL,BF,BF_P1,BFPL1655,Alnus glutinosa,9.5
FTC,PL,BF,BF_P1,BFPL1655,Alnus glutinosa,8.2
FTC,PL,BF,BF_P1,BFPL1655,Fraxinus excelsior,19
FTC,PL,BF,BF_P1,BFPL1655,Alnus glutinosa,7.1
FTC,PL,BF,BF_P1,BFPL1655,Fraxinus excelsior,17.2
FTC,PL,BF,BF_P1,BFPL1655,Alnus glutinosa,8.9
FTC,PL,BF,BF_P1,BFPL215,Quercus sp.,9.3
FTC,PL,BF,BF_P1,BFPL215,Quercus sp.,12.7
FTC,PL,BF,BF_P1,BFPL215,Corylus avellana,7.3
FTC,PL,BF,BF_P1,BFPL215,Corylus avellana,7.4
FTC,PL,BF,BF_P1,BFPL215,Corylus avellana,8.2
FTC,PL,BF,BF_P1,BFPL215,Quercus sp.,13.2
FTC,PL,BF,BF_P1,BFPL215,Quercus sp.,9.8
FTC,PL,BF,BF_P1,BFPL215,Quercus sp.,12.8
FTC,PL,BF,BF_P1,BFPL215,Quercus sp.,16.9
FTC,PL,BF,BF_P1,BFPL215,Corylus avellana,7.6
FTC,PL,BF,BF_P1,BFPL215,Corylus avellana,8.8
FTC,PL,BF,BF_P1,BFPL215,Corylus avellana,7.5
FTC,PL,BF,BF_P1,BFPL215,Corylus avellana,7
FTC,PL,BF,BF_P1,BFPL215,Quercus sp.,11
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,9
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,7.3
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,13.3
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,12.8
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,9.8
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,8.3
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,10.6
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,9.3
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,12.6
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,12.6
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,13.8
FTC,PL,BF,BF_P1,BFPL225,Quercus sp.,12
FTC,PL,BF,BF_P1,BFPL225,Corylus avellana,8.4
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,9.4
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,9.8
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,8.9
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,16.9
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,9.8
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,7.5
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,9.4
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,12.2
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,17.5
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,10
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,10.4
FTC,PL,BF,BF_P1,BFPL225,Acer campestre,7.3
FTC,PL,BF,BF_P1,BFPL2330,Quercus sp.,14.3
FTC,PL,BF,BF_P1,BFPL2330,Quercus sp.,8.1
FTC,PL,BF,BF_P1,BFPL2330,Quercus sp.,10.2
FTC,PL,BF,BF_P1,BFPL2330,Quercus sp.,12
FTC,PL,BF,BF_P1,BFPL2330,Quercus sp.,11.4
FTC,PL,BF,BF_P1,BFPL2330,Quercus sp.,11.5
FTC,PL,BF,BF_P1,BFPL2330,Quercus sp.,16.2
FTC,PL,BF,BF_P1,BFPL2330,Quercus sp.,11.8
FTC,PL,BF,BF_P1,BFPL2330,Quercus sp.,15.2
FTC,PL,BF,BF_P1,BFPL2330,Quercus sp.,10.3
FTC,PL,BF,BF_P1,BFPL2430,Quercus sp.,10.6
FTC,PL,BF,BF_P1,BFPL2430,Acer campestre,9.8
FTC,PL,BF,BF_P1,BFPL2430,Fraxinus excelsior,8.3
FTC,PL,BF,BF_P1,BFPL2430,Quercus sp.,11.1
FTC,PL,BF,BF_P1,BFPL2430,Fraxinus excelsior,9.9
FTC,PL,BF,BF_P1,BFPL2430,Acer campestre,7.1
FTC,PL,BF,BF_P1,BFPL2430,Acer campestre,12.5
FTC,PL,BF,BF_P1,BFPL2430,Fraxinus excelsior,11
FTC,PL,BF,BF_P1,BFPL2430,Quercus sp.,7.4
FTC,PL,BF,BF_P1,BFPL2430,Fraxinus excelsior,12.6
FTC,PL,BF,BF_P1,BFPL2430,Quercus sp.,9.8
FTC,PL,BF,BF_P1,BFPL2430,Acer campestre,7.2
FTC,PL,BF,BF_P1,BFPL2430,Quercus sp.,7.8
FTC,PL,BF,BF_P1,BFPL2430,Quercus sp.,8.8
FTC,PL,BF,BF_P1,BFPL2430,Fraxinus excelsior,9
FTC,PL,BF,BF_P1,BFPL2555,Quercus sp.,10.5
FTC,PL,BF,BF_P1,BFPL2555,Quercus sp.,10.5
FTC,PL,BF,BF_P1,BFPL2555,Quercus sp.,10.8
FTC,PL,BF,BF_P1,BFPL2555,Quercus sp.,9.2
FTC,PL,BF,BF_P1,BFPL2555,Quercus sp.,8.4
FTC,PL,BF,BF_P1,BFPL2555,Quercus sp.,9.3
FTC,PL,BF,BF_P1,BFPL2555,Quercus sp.,10.5
FTC,PL,BF,BF_P1,BFPL2555,Quercus sp.,9.8
FTC,PL,BF,BF_P1,BFPL2555,Quercus sp.,10.4
FTC,PL,BF,BF_P1,BFPL2555,Quercus sp.,9.3
FTC,PL,BF,BF_P1,BFPL2555,Quercus sp.,10
FTC,PL,BF,BF_P1,BFPL2555,Quercus sp.,15.9
FTC,PL,BF,BF_P1,BFPL2555,Quercus sp.,10.1
FTC,PL,BF,BF_P1,BFPL2555,Quercus sp.,12
FTC,PL,BF,BF_P1,BFPL2655,Quercus sp.,10.5
FTC,PL,BF,BF_P1,BFPL2655,Quercus sp.,8.3
FTC,PL,BF,BF_P1,BFPL2655,Quercus sp.,9
FTC,PL,BF,BF_P1,BFPL2655,Quercus sp.,7.8
FTC,PL,BF,BF_P1,BFPL2655,Quercus sp.,8.6
FTC,PL,BF,BF_P1,BFPL2655,Fraxinus excelsior,8.3
FTC,PL,BF,BF_P1,BFPL2655,Quercus sp.,12.3
FTC,PL,BF,BF_P1,BFPL2655,Fraxinus excelsior,7.2
FTC,PL,BF,BF_P1,BFPL2655,Quercus sp.,16.4
FTC,PL,BF,BF_P1,BFPL2655,Quercus sp.,7.9
FTC,PL,BF,BF_P1,BFPL2655,Quercus sp.,7.2
FTC,PL,BF,BF_P1,BFPL2655,Fraxinus excelsior,9.4
FTC,Mature,CS,CS_M1,CSMature115,Corylus avellana,10.1
FTC,Mature,CS,CS_M1,CSMature115,Corylus avellana,9.1
FTC,Mature,CS,CS_M1,CSMature115,Corylus avellana,7.9
FTC,Mature,CS,CS_M1,CSMature115,Corylus avellana,8.3
FTC,Mature,CS,CS_M1,CSMature115,Corylus avellana,7.5
FTC,Mature,CS,CS_M1,CSMature115,Quercus sp.,37.5
FTC,Mature,CS,CS_M1,CSMature115,Quercus sp.,56
FTC,Mature,CS,CS_M1,CSMature115,Ilex aquifolium,10.6
FTC,Mature,CS,CS_M1,CSMature125,Fraxinus excelsior,21.9
FTC,Mature,CS,CS_M1,CSMature125,Fraxinus excelsior,22.9
FTC,Mature,CS,CS_M1,CSMature125,Crataegus monogyna,7
FTC,Mature,CS,CS_M1,CSMature125,Crataegus monogyna,7.7
FTC,Mature,CS,CS_M1,CSMature125,Crataegus monogyna,7.5
FTC,Mature,CS,CS_M1,CSMature125,Corylus avellana,8.8
FTC,Mature,CS,CS_M1,CSMature125,Crataegus monogyna,14.5
FTC,Mature,CS,CS_M1,CSMature125,Fraxinus excelsior,19
FTC,Mature,CS,CS_M1,CSMature125,Fraxinus excelsior,16.6
FTC,Mature,CS,CS_M1,CSMature125,Fraxinus excelsior,27.2
FTC,Mature,CS,CS_M1,CSMature125,Fraxinus excelsior,19.2
FTC,Mature,CS,CS_M1,CSMature125,Quercus sp.,45.7
FTC,Mature,CS,CS_M1,CSMature125,Crataegus monogyna,19
FTC,Mature,CS,CS_M1,CSMature1330,Quercus sp.,91.3
FTC,Mature,CS,CS_M1,CSMature1330,Corylus avellana,7.7
FTC,Mature,CS,CS_M1,CSMature1330,Corylus avellana,11.4
FTC,Mature,CS,CS_M1,CSMature1330,Corylus avellana,9.9
FTC,Mature,CS,CS_M1,CSMature1330,Corylus avellana,9.2
FTC,Mature,CS,CS_M1,CSMature1430,Quercus sp.,52.3
FTC,Mature,CS,CS_M1,CSMature1430,Corylus avellana,7.3
FTC,Mature,CS,CS_M1,CSMature1430,Quercus sp.,52.7
FTC,Mature,CS,CS_M1,CSMature1555,Quercus sp.,55.3
FTC,Mature,CS,CS_M1,CSMature1555,Corylus avellana,7.1
FTC,Mature,CS,CS_M1,CSMature1555,Corylus avellana,61.3
FTC,Mature,CS,CS_M1,CSMature1555,Ilex aquifolium,7.8
FTC,Mature,CS,CS_M1,CSMature1555,Corylus avellana,8.8
FTC,Mature,CS,CS_M1,CSMature1555,Fraxinus excelsior,35.8
FTC,Mature,CS,CS_M1,CSMature1555,Corylus avellana,11.3
FTC,Mature,CS,CS_M1,CSMature1655,Quercus sp.,78.6
FTC,Mature,CS,CS_M1,CSMature1655,Carpinus betulus,7.9
FTC,Mature,CS,CS_M1,CSMature1655,Carpinus betulus,13
FTC,Mature,CS,CS_M1,CSMature1655,Carpinus betulus,11.8
FTC,Mature,CS,CS_M1,CSMature1655,Carpinus betulus,12
