"","ID","stemDensityHA","dbhMean","dbhSD"
"1","1105056",279.8,49.3,23.2
"2","1105206",611.9,28.1,20.3
"3","1105464",838.5,24.9,19
"4","1107477",1205.4,24.3,18.4
"5","1107675",502,28.9,20.4
"6","1107677",784.6,27.8,20.3
"7","1107931",NA,NA,NA
"8","1108137",557.8,25.4,22.7
"9","1108227",1025.4,27.7,18.7
"10","1108368",212.9,47.7,23.6
"11","1115432",306.3,38.1,20.7
"12","1412786",402,25.6,18
"13","1503147",703.6,23.4,14
"14","182014",1531,14.2,4.9
"15","182458",296,46.8,29.3
"16","183278",333,46.3,15.9
"17","183479",355,54.4,15.3
"18","186253",1321,18.5,3.9
"19","186449",629,34.6,13.9
"20","186460",973,21.5,8.2
"21","186969",757,21.6,9.4
"22","187270",737,32.7,10.4
"23","187943",398,34.4,17.5
"24","188912",1187,24,10.5
"25","189455",398,25.6,11.5
"26","189594",527,20.4,12.4
"27","189646",2115,14.1,4.3
"28","189934",906,25,8.4
"29","190325",230,24.4,12.2
"30","190457",709,23.9,17.3
"31","190783",1662,16.2,6.7
"32","191362",290,41.3,6.1
"33","192053",1287,21.5,7.3
"34","192417",1832,21.4,5.4
"35","192446",639,14.2,4.4
"36","194918",1176,8.1,16.8
"37","299021",568,26.3,19.8
"38","305284",535,23.3,7.7
"39","56429",2014,19.2,12.3
"40","Kempston",NA,NA,NA
"41","WT4509",1034,15.9,5.6
"42","WT4688",863,13.6,5.1
"43","WT4691",4063,10.8,2.9
"44","WT4832",2957,11.3,3.3
"45","WT4945",4037,11.8,2.2
"46","WT4975",1439,14,3.2
"47","WT5163",1432,10.8,2.8
"48","WT5210",2988,12,3.1
"49","WT5226",1157,12.64,5.38
"50","WT5231",2546,12.2,4.3
"51","WT5233",1092,8.2,1.3
"52","WT5291",330,8.8,2.1
"53","BF_M1",11833,16.8,6.1
"54","BF_M2",3500,29.4,20
"55","BF_P1",24000,10.3,2.6
"56","CS_M1",7000,23.2,21.4
"57","CS_M2",10833,23.9,16.5
"58","CS_M4",8500,24.7,18.8
"59","CS_P1",21000,15.3,6.4
"60","DP_M1",6333,17.5,14
"61","DP_M2",9000,13.2,12.7
"62","DP_M3",3500,23.8,15.2
"63","DP_M4",6667,23.2,17.7
"64","DP_P1",12833,10.5,2.7
"65","DW_M1",7500,24.3,14.6
"66","DW_M2",6000,20.7,11.6
"67","DW_M3",9167,11.1,2.2
"68","DW_M4",12333,14.4,9.3
"69","DW_P1",38667,12,3.4
"70","FF_M1",7333,22.2,11.9
"71","FF_M2",8167,16.5,9.4
"72","FF_P1",10833,10.9,4
"73","FL_M1",12000,17.3,11.7
