"","ID","Type","Age","spp","sppWoodland","sppGeneralist","sppSpecialist","Source","stemDensityHA","dbhSD"
"1","1105056","Mature","250",26,25,18,7,"WrEN",279.8,23.2
"2","1105206","Mature","250",27,26,14,12,"WrEN",611.9,20.3
"3","1105464","Mature","250",29,27,15,12,"WrEN",838.5,19
"4","1107477","Mature","250",31,30,18,12,"WrEN",1205.4,18.4
"5","1107675","Mature","250",19,17,11,6,"WrEN",502,20.4
"6","1107677","Mature","250",36,34,19,15,"WrEN",784.6,20.3
"7","1107931","Mature",NA,18,16,13,3,"WrEN",NA,NA
"8","1108137","Mature","250",39,33,27,6,"WrEN",557.8,22.7
"9","1108227","Mature","250",19,19,12,7,"WrEN",1025.4,18.7
"10","1108368","Mature","250",18,14,11,3,"WrEN",212.9,23.6
"11","1115432","Mature","250",16,15,9,6,"WrEN",306.3,20.7
"12","1412786","Mature","250",26,26,16,10,"WrEN",402,18
"13","1503147","Mature","250",13,13,9,4,"WrEN",703.6,14
"14","182014","PL","10",20,16,14,2,"WrEN",1531,4.9
"15","182458","PL","90",14,14,9,5,"WrEN",296,29.3
"16","183278","PL","50",26,22,18,4,"WrEN",333,15.9
"17","183479","PL","60",25,21,18,3,"WrEN",355,15.3
"18","186253","PL","20",21,17,14,3,"WrEN",1321,3.9
"19","186449","PL","110",19,16,13,3,"WrEN",629,13.9
"20","186460","PL","80",18,15,12,3,"WrEN",973,8.2
"21","186969","PL","20",11,11,10,1,"WrEN",757,9.4
"22","187270","PL","60",18,17,14,3,"WrEN",737,10.4
"23","187943","PL","110",20,19,13,6,"WrEN",398,17.5
"24","188912","PL","110",17,17,12,5,"WrEN",1187,10.5
"25","189455","PL","30",28,24,20,4,"WrEN",398,11.5
"26","189594","PL","110",23,21,15,6,"WrEN",527,12.4
"27","189646","PL","20",24,20,19,1,"WrEN",2115,4.3
"28","189934","PL","40",26,23,20,3,"WrEN",906,8.4
"29","190325","PL","20",16,16,15,1,"WrEN",230,12.2
"30","190457","PL","110",15,15,10,5,"WrEN",709,17.3
"31","190783","PL","20",18,16,13,3,"WrEN",1662,6.7
"32","191362","PL","80",35,28,22,6,"WrEN",290,6.1
"33","192053","PL","10",15,15,14,1,"WrEN",1287,7.3
"34","192417","PL","40",12,11,11,0,"WrEN",1832,5.4
"35","192446","PL","40",22,22,15,7,"WrEN",639,4.4
"36","194918","PL","10",32,29,22,7,"WrEN",1176,16.8
"37","299021","PL","60",24,21,17,4,"WrEN",568,19.8
"38","305284","PL","30",30,25,19,6,"WrEN",535,7.7
"39","56429","PL","50",26,20,17,3,"WrEN",2014,12.3
"40","Kempston","Mature",NA,29,25,15,10,"WrEN",NA,NA
"41","WT4509","PL","18",33,23,19,4,"WrEN",1034,5.6
"42","WT4688","PL","15",20,17,15,2,"WrEN",863,5.1
"43","WT4691","PL","15",32,22,19,3,"WrEN",4063,2.9
"44","WT4832","PL","11",32,21,16,5,"WrEN",2957,3.3
"45","WT4945","PL","12",26,20,20,0,"WrEN",4037,2.2
"46","WT4975","PL","12",28,23,20,3,"WrEN",1439,3.2
"47","WT5163","PL","12",28,22,19,3,"WrEN",1432,2.8
"48","WT5210","PL","10",19,15,14,1,"WrEN",2988,3.1
"49","WT5226","PL","10",32,20,19,1,"WrEN",1157,5.38
"50","WT5231","PL","11",30,21,19,2,"WrEN",2546,4.3
"51","WT5233","PL","10",23,16,14,2,"WrEN",1092,1.3
"52","WT5291","PL","10",30,15,14,1,"WrEN",330,2.1
"53","CH-EW-0510-LANG","Mature","Mature",15,17,11,6,"NC",1561,9.9
"54","CH-EW-1020-HUC3","Mature","Mature",9,7,2,5,"NC",2389,11.3
"55","CH-EW-3040-HOME","Mature","Mature",14,13,6,7,"NC",1752,11.2
"56","CH-EWNC-1020-HUC1","Mature","Mature",9,8,3,5,"NC",3471,6.1
"57","CH-EWNC-2030-BLAC","Mature","Mature",11,9,3,6,"NC",1465,15.7
"58","CH-EWNC-2030-BULW","Mature","Mature",19,18,9,9,"NC",1720,10.2
"59","CH-EWNC-2030-FAMN","Mature","Mature",6,3,2,1,"NC",796,19.5
"60","CH-EWNC-6000-FAM2","Mature","Mature",5,2,1,1,"NC",669,23.2
"61","CH-EWPL-1020-HUC1","Mature","Mature",10,6,2,4,"NC",1688,14.1
"62","CH-EWPL-2030-BLAC","Mature","Mature",20,21,9,12,"NC",955,15
"63","CH-EWPL-2030-BULW","Mature","Mature",16,14,12,2,"NC",350,20.3
"64","CH-EWPL-2030-FAMN","Mature","Mature",11,8,4,4,"NC",1592,11.8
"65","CH-EWPL-6000-FAM2","Mature","Mature",10,10,4,6,"NC",3057,5.9
"66","CH-NC-0510-LANG","NC","8",33,34,26,8,"NC",127,0
"67","CH-NC-1020-HUC1","NC","12",7,6,5,1,"NC",5637,4.4
"68","CH-NC-1020-HUC3","NC","20",15,11,9,2,"NC",7611,3.3
"69","CH-NC-2030-BLAC","NC","25",49,60,43,17,"NC",350,0.5
"70","CH-NC-2030-BULW","NC","24",49,35,27,8,"NC",701,2.9
"71","CH-NC-2030-FAMN","NC","25",15,16,10,6,"NC",5701,4.3
"72","CH-NC-3040-HOME","NC","30",37,58,52,6,"NC",2548,3.4
"73","CH-NC-6000-FAM2","NC","120",11,15,6,9,"NC",3917,6.6
"74","CH-PL-0510-LANG","PL","8",39,26,26,0,"NC",159,0
"75","CH-PL-1020-HUC1","PL","12",6,4,4,0,"NC",7707,5.6
"76","CH-PL-1020-HUC3","PL","20",6,3,3,0,"NC",12739,3.7
"77","CH-PL-2030-BLAC","PL","25",11,10,5,5,"NC",NA,NA
"78","CH-PL-2030-BULW","PL","24",19,21,16,5,"NC",2229,5.5
"79","CH-PL-2030-FAMN","PL","25",17,17,14,3,"NC",4682,8.3
"80","CH-PL-3040-HOME","PL","23",8,9,8,1,"NC",11146,7
"81","CH-PL-6000-FAM2","PL","74",11,21,13,8,"NC",7962,4.5
"82","EA-EWNC-0510-ARG2","Mature","Mature",10,9,4,5,"NC",NA,NA
"83","EA-EWNC-1020-SUGL","Mature","Mature",11,13,6,7,"NC",2006,10.4
"84","EA-EWNC-2030-ARG1","Mature","Mature",17,13,9,4,"NC",924,13.1
"85","EA-EWNC-3040-WIL3","Mature","Mature",11,9,2,7,"NC",1911,13
"86","EA-EWNC-6000-HAYL","Mature","Mature",15,10,6,4,"NC",987,10.2
"87","EA-EWNC-6000-WIL4","Mature","Mature",11,9,3,6,"NC",1529,15.5
"88","EA-EWPL-1020-SUGL","Mature","Mature",10,9,7,2,"NC",1210,14.5
"89","EA-EWPL-2030-ARG1","Mature","Mature",18,16,12,4,"NC",NA,NA
"90","EA-EWPL-3040-WIL3","Mature","Mature",7,7,4,3,"NC",637,29.7
"91","EA-EWPL-6000-HAYL","Mature","Mature",10,7,4,3,"NC",2771,6.9
