fid,ID,Source,bl500_m,aw500_m,nearestBL,nearestAW,area_m,area_ha
170,BF_M1,FTC,0.22,0.02,66,209,11036.88184,1.103688184
171,BF_M2,FTC,0.09,0,10,,32685.03502,3.268503502
172,BF_P1,FTC,0.21,0.02,10,10,39933.81142,3.993381142
173,CS_M1,FTC,0.12,0.07,10,135,70144.28319,7.014428319
174,CS_M2,FTC,0.12,0.06,10,10,11520.3292,1.15203292
175,CS_M4,FTC,0.17,0.1,69,91,12389.45308,1.238945308
176,CS_P1,FTC,0.1,0.08,10,10,77549.89255,7.754989255
177,DP_M1,FTC,0.09,0.09,145,10,28340.89212,2.834089212
178,DP_M2,FTC,0.18,0.17,10,10,44212.99321,4.421299321
179,DP_M3,FTC,0.12,0.09,10,97,134944.1084,13.49441084
180,DP_M4,FTC,0.2,0.13,13,13,20263.2584,2.02632584
210,DP_P1,FTC,0.15,0.16,10,11,15323.36789,1.532336789
181,DW_M1,FTC,0.11,0.1,10,10,20805.6495,2.08056495
182,DW_M2,FTC,0.09,0.1,10,10,43289.32416,4.328932416
183,DW_M3,FTC,0.22,0.19,10,82,89228.05497,8.922805497
184,DW_M4,FTC,0.13,0.11,67,10,53796.98013,5.379698013
185,DW_P1,FTC,0.13,0.13,10,10,35276.64658,3.527664658
186,FF_M1,FTC,0.01,0.03,111,265,60262.03492,6.026203492
187,FF_M2,FTC,0.11,0.17,80,12,9185.46259,0.918546259
211,FF_P1,FTC,0.08,0.13,10,10,7757.723266,0.775772327
188,FL_M1,FTC,0.11,0.1,10,10,132938.7546,13.29387546
189,FL_M2,FTC,0.31,0.26,105,105,9584.44218,0.958444218
190,FL_M4,FTC,0.19,0.16,84,10,18789.89453,1.878989453
191,FL_P1,FTC,0.32,0.27,10,10,23963.7875,2.39637875
192,HF_M1,FTC,0.39,0.43,10,10,169068.4373,16.90684373
193,HF_M2,FTC,0.37,0.31,10,10,175691.0711,17.56910711
194,HF_M3,FTC,0.36,0.39,10,10,6775.816257,0.677581626
195,HF_M4,FTC,0.21,0.21,10,31,19252.20074,1.925220074
196,HF_P1,FTC,0.49,0.52,10,10,85048.88855,8.504888855
197,LB_M1,FTC,0.13,0.05,10,10,37221.09436,3.722109436
198,LB_M2,FTC,0.16,0.15,10,10,55284.00393,5.528400393
199,LB_M3,FTC,0.19,0.09,10,10,257893.0246,25.78930246
200,LB_M4,FTC,0.25,0.24,107,134,7141.886681,0.714188668
201,LB_P1,FTC,0.16,0.13,10,10,15717.88411,1.571788411
202,MG_M1,FTC,0.1,0.19,148,10,56420.22679,5.642022679
203,MG_M2,FTC,0.11,0.24,10,10,163562.5535,16.35625535
204,MG_M3,FTC,0.11,0.05,10,247,13646.20184,1.364620184
205,MG_M4,FTC,0.07,0.04,55,169,29341.72238,2.934172238
206,MG_P1,FTC,0.13,0.25,10,10,163702.157,16.3702157
207,SH_M1,FTC,0.26,0.13,10,102,49026.17811,4.902617811
208,SH_M2,FTC,0.2,0.06,10,10,126136.4891,12.61364891
209,SH_P1,FTC,0.3,0.15,10,10,46114.32509,4.611432509
125,CH-EW-0510-LANG,NC,0.1,0.02,76,76,61765.97549,6.176597549
104,CH-EW-1020-HEAR,NC,0.01,0,10,568,90342.2249,9.03422249
127,CH-EW-1020-HUC3,NC,0.68,0.37,10,10,24447.42342,2.444742342
109,CH-EW-3040-HOME,NC,0.13,0.11,10,10,25897.62354,2.589762354
87,CH-EWNC-0510-SL01,NC,0.5,0.45,10,10,38216.24856,3.821624856
88,CH-EWNC-0510-SL02,NC,0.48,0.31,10,10,35827.90884,3.582790884
169,CH-EWNC-1020-HUC1,NC,0.61,0.33,10,10,7570.24102,0.757024102
122,CH-EWNC-2030-BLAC,NC,0.23,0.11,10,10,102748.5933,10.27485933
83,CH-EWNC-2030-BULW,NC,0.15,0.13,28,86,30591.42787,3.059142787
56,CH-EWNC-2030-FAMN,NC,0.66,0.48,10,10,53071.2821,5.30712821
62,CH-EWNC-6000-FAM2,NC,0.52,0.33,10,10,48980.8657,4.89808657
76,CH-EWNC-6000-NORT,NC,0.38,0.29,10,10,34979.7169,3.49797169
60,CH-EWNC-6000-PRES,NC,0.42,0.18,10,32,15734.8422,1.57348422
157,CH-EWPL-0510-SL12,NC,0.26,0.25,10,10,16212.77327,1.621277327
120,CH-EWPL-1020-HUC1,NC,0.51,0.3,10,79,10840.29024,1.084029024
134,CH-EWPL-2030-BLAC,NC,0.33,0.14,10,10,20159.24747,2.015924747
163,CH-EWPL-2030-BULW,NC,0.26,0.21,10,10,63310.05,6.331005
146,CH-EWPL-2030-FAMN,NC,0.19,0.03,10,328,10163.00256,1.016300256
131,CH-EWPL-6000-FAM2,NC,0.17,0.12,10,228,37367.41771,3.736741771
154,CH-EWPL-6000-NORT,NC,0.27,0.28,10,10,30002.76097,3.000276097
167,CH-EWPL-6000-PRES,NC,0.13,0.05,10,10,9944.730351,0.994473035
124,CH-NC-0510-LANG,NC,0.12,0.04,10,10,49921.53625,4.992153625
86,CH-NC-0510-SL01,NC,0.5,0.41,10,10,48879.11695,4.887911695
89,CH-NC-0510-SL02,NC,0.52,0.29,10,10,28498.12404,2.849812404
103,CH-NC-1020-HEAR,NC,0.09,0,10,928,14773.52554,1.477352554
58,CH-NC-1020-HUC1,NC,0.56,0.33,10,10,17728.41412,1.772841412
119,CH-NC-1020-HUC3,NC,0.72,0.43,10,10,5811.312596,0.58113126
121,CH-NC-2030-BLAC,NC,0.32,0.21,10,10,46440.82557,4.644082557
84,CH-NC-2030-BULW,NC,0.09,0.07,10,10,287597.0459,28.75970459
57,CH-NC-2030-FAMN,NC,0.56,0.42,10,10,67078.4459,6.70784459
108,CH-NC-3040-HOME,NC,0.15,0.14,10,10,63506.04613,6.350604613
61,CH-NC-6000-FAM2,NC,0.51,0.37,10,10,16668.21187,1.666821187
75,CH-NC-6000-NORT,NC,0.3,0.26,10,10,46566.30331,4.656630331
111,CH-NC-6000-PRES,NC,0.38,0.16,10,10,13334.88087,1.333488087
126,CH-PL-0510-LANG,NC,0.11,0.04,10,10,59712.47669,5.971247669
158,CH-PL-0510-SL12,NC,0.26,0.26,17,17,36752.73412,3.675273412
105,CH-PL-1020-HEAR,NC,0.08,0,10,985,60537.37522,6.053737522
59,CH-PL-1020-HUC1,NC,0.54,0.32,10,10,9297.840056,0.929784006
118,CH-PL-1020-HUC3,NC,0.61,0.37,10,10,39261.20789,3.926120789
123,CH-PL-2030-BLAC,NC,0.32,0.13,10,15,17903.53259,1.790353259
162,CH-PL-2030-BULW,NC,0.31,0.24,10,10,15265.1196,1.52651196
145,CH-PL-2030-FAMN,NC,0.2,0.05,10,236,20284.62875,2.028462875
151,CH-PL-3040-HOME,NC,0.14,0.13,10,10,32670.3887,3.26703887
130,CH-PL-6000-FAM2,NC,0.17,0.11,10,202,14531.64156,1.453164156
117,CH-PL-6000-NORT,NC,0.29,0.38,10,10,24851.5152,2.48515152
166,CH-PL-6000-PRES,NC,0.1,0.06,10,10,58007.99015,5.800799015
153,EA-EW-1020-LOSH,NC,0.18,0,10,,7351.787998,0.7351788
90,EA-EWNC-0510-ARG2,NC,0.01,0.01,10,435,48237.02305,4.823702305
107,EA-EWNC-1020-HIGH,NC,0.08,0,10,891,73168.50583,7.316850583
64,EA-EWNC-1020-SUGL,NC,0.24,0.22,10,10,81904.4962,8.19044962
78,EA-EWNC-2030-ARG1,NC,0.15,0.13,10,10,81989.33923,8.198933923
66,EA-EWNC-2030-WIL2,NC,0.53,0.53,10,10,38779.64185,3.877964185
68,EA-EWNC-3040-WIL3,NC,0.39,0.36,10,10,40808.11605,4.080811605
70,EA-EWNC-6000-HAYL,NC,0.02,0,10,,474560.5996,47.45605996
140,EA-EWNC-6000-WIL4,NC,0.37,0.47,10,10,117948.388,11.7948388
133,EA-EWPL-1020-HIGH,NC,0.07,0.04,10,296,4519.610128,0.451961013
141,EA-EWPL-1020-SUGL,NC,0.01,0,10,,538465.1669,53.84651669
116,EA-EWPL-2030-ARG1,NC,0.11,0.03,10,10,59607.75237,5.960775237
110,EA-EWPL-3040-WIL3,NC,0.19,0,10,,20886.25655,2.088625655
150,EA-EWPL-6000-HAYL,NC,0.33,0.29,10,10,284302.7334,28.43027334
165,EA-EWPL-6000-WIL4,NC,0.18,0.04,10,10,97108.93905,9.710893905
91,EA-NC-0510-ARG2,NC,0.1,0.08,10,10,109356.522,10.9356522
106,EA-NC-1020-HIGH,NC,0.14,0,10,,19860.02374,1.986002374
80,EA-NC-1020-LOSH,NC,0.15,0,10,935,21203.79805,2.120379805
63,EA-NC-1020-SUGL,NC,0.23,0.2,10,10,99998.23168,9.999823168
77,EA-NC-2030-ARG1,NC,0.17,0.17,10,10,172975.5753,17.29755753
65,EA-NC-2030-WIL2,NC,0.39,0.47,10,12,26541.44208,2.654144208
67,EA-NC-3040-WIL3,NC,0.35,0.37,10,16,16173.25411,1.617325411
69,EA-NC-6000-HAYL,NC,0.28,0.26,10,10,26058.01726,2.605801726
139,EA-NC-6000-WIL4,NC,0.47,0.67,10,10,39129.16469,3.912916469
132,EA-PL-1020-HIGH,NC,0.07,0.04,10,348,9804.365742,0.980436574
152,EA-PL-1020-LOSH,NC,0.17,0,10,,8083.26748,0.808326748
55,EA-PL-1020-SUGL,NC,0.32,0.3,10,10,72853.13192,7.285313192
115,EA-PL-2030-ARG1,NC,0.17,0.06,10,23,43281.80671,4.328180671
71,EA-PL-3040-WIL3,NC,0.18,0,10,,28609.73173,2.860973173
149,EA-PL-6000-HAYL,NC,0.39,0.39,10,10,84213.61945,8.421361945
164,EA-PL-6000-WIL4,NC,0.26,0.14,10,10,61909.00391,6.190900391
144,SE-EW-1020-COMF,NC,0.21,0.03,10,10,15225.38877,1.522538877
85,SE-EW-1020-VICT,NC,0.23,0.23,10,10,72758.57198,7.275857198
79,SE-EWNC-1020-HAIN,NC,0.34,0.25,10,10,72704.78331,7.270478331
113,SE-EWNC-2030-OLDP,NC,0.35,0.42,10,10,52018.30803,5.201830803
98,SE-EWNC-3040-RAVE,NC,0.26,0,10,,20679.29453,2.067929453
97,SE-EWNC-6000-BOWD,NC,0.55,0.31,10,10,94610.67461,9.461067461
148,SE-EWPL-1020-HAIN,NC,0.07,0.05,10,10,9732.20555,0.973220555
99,SE-EWPL-2030-OLDP,NC,0.15,0.02,10,10,20995.55848,2.099555848
143,SE-EWPL-3040-RAVE,NC,0.11,0.01,10,50,23280.6271,2.32806271
129,SE-EWPL-5060-BOWD,NC,0.38,0.15,10,10,44242.87452,4.424287452
100,SE-NC-1020-COMF,NC,0.22,0.03,10,10,5388.266846,0.538826685
