species,kk_type
Actaea spicata,wood_gen
Aegopodium podagraria,wood_gen
Agrostis canina,wood_gen
Agrostis capillaris,wood_gen
Agrostis gigantea,wood_gen
Agrostis stolonifera,wood_gen
Ajuga reptans,wood_gen
Alchemilla glabra,wood_gen
Alliaria petiolata,wood_gen
Angelica sylvestris,wood_gen
Anthoxanthum odoratum,wood_gen
Anthriscus sylvestris,wood_gen
Arctium lappa,wood_gen
Arctium minus,wood_gen
Arrhenatherum elatius,wood_gen
Arum italicum,wood_gen
Asarum europaeum,wood_gen
Asplenium adiantum-nigrum,wood_gen
Asplenium trichomanes,wood_gen
Asplenium viride,wood_gen
Atropa belladonna,wood_gen
Bryonia dioica,wood_gen
Calluna vulgaris,wood_gen
Caltha palustris,wood_gen
Calystegia sepium,wood_gen
Campanula rotundifolia,wood_gen
Cardamine flexuosa,wood_gen
Cardamine pratensis,wood_gen
Carduus crispus,wood_gen
Carex binervis,wood_gen
Carex capillaris,wood_gen
Carex diandra,wood_gen
Carex hirta,wood_gen
Carex pseudocyperus,wood_gen
Carex riparia,wood_gen
Chamerion angustifolium,wood_gen
Circaea alpina,wood_gen
Circaea lutetiana,wood_gen
Cirsium palustre,wood_gen
Cirsium vulgare,wood_gen
Clematis vitalba,wood_gen
Conium maculatum,wood_gen
Corallorhiza trifida,wood_gen
Crepis paludosa,wood_gen
Cystopteris fragilis,wood_gen
Dactylorhiza fuchsii,wood_gen
Dactylis glomerata,wood_gen
Deschampsia cespitosa,wood_gen
Deschampsia flexuosa,wood_gen
Digitalis purpurea,wood_gen
Dryopteris dilatata,wood_gen
Dryopteris filix-mas,wood_gen
Epilobium hirsutum,wood_gen
Epilobium montanum,wood_gen
Epilobium obscurum,wood_gen
Epilobium roseum,wood_gen
Epilobium tetragonum,wood_gen
Epipactis atrorubens,wood_gen
Equisetum palustre,wood_gen
Eupatorium cannabinum,wood_gen
Euphorbia lathyris,wood_gen
Festuca ovina,wood_gen
Festuca rubra,wood_gen
Filipendula ulmaria,wood_gen
Galeopsis tetrahit,wood_gen
Galium aparine,wood_gen
Galium palustre,wood_gen
Galium saxatile,wood_gen
Geranium lucidum,wood_gen
Geum urbanum,wood_gen
Glechoma hederacea,wood_gen
Goodyera repens,wood_gen
Gymnocarpium robertianum,wood_gen
Hedera helix,wood_gen
Heracleum sphondylium,wood_gen
Holcus lanatus,wood_gen
Humulus lupulus,wood_gen
Hypericum humifusum,wood_gen
Hypericum maculatum,wood_gen
Hypericum montanum,wood_gen
Hypericum perforatum,wood_gen
Impatiens noli-tangere,wood_gen
Inula conyzae,wood_gen
Iris pseudacorus,wood_gen
Juncus acutiflorus,wood_gen
Juncus conglomeratus,wood_gen
Juncus effusus,wood_gen
Lamium album,wood_gen
Lapsana communis,wood_gen
Lilium martagon,wood_gen
Linnaea borealis,wood_gen
Listera cordata,wood_gen
Luzula luzuloides,wood_gen
Luzula multiflora,wood_gen
Lychnis flos-cuculi,wood_gen
Lycopus europaeus,wood_gen
Lythrum salicaria,wood_gen
Meconopsis cambrica,wood_gen
Melampyrum cristatum,wood_gen
Mentha aquatica,wood_gen
Mentha arvensis,wood_gen
Molinia caerulea,wood_gen
Moneses uniflora,wood_gen
Claytonia sibirica,wood_gen
Mycelis muralis,wood_gen
Myosoton aquaticum,wood_gen
Myosotis arvensis,wood_gen
Myrica gale,wood_gen
Ophrys apifera,wood_gen
Ornithogalum pyrenaicum,wood_gen
Orthilia secunda,wood_gen
Osmunda regalis,wood_gen
Petasites hybridus,wood_gen
Platanthera bifolia,wood_gen
Poa annua,wood_gen
Poa chaixii,wood_gen
Poa trivialis,wood_gen
Fallopia dumetorum,wood_gen
Polypodium australe,wood_gen
Polypodium interjectum,wood_gen
Potentilla anglica,wood_gen
Potentilla anserina,wood_gen
Potentilla erecta,wood_gen
Potentilla reptans,wood_gen
Primula veris,wood_gen
Prunella vulgaris,wood_gen
Pteridium aquilinum,wood_gen
Pulmonaria obscura,wood_gen
Pyrola media,wood_gen
Pyrola rotundifolia,wood_gen
Ranunculus ficaria,wood_gen
Ranunculus flammula,wood_gen
Ranunculus repens,wood_gen
Ribes alpinum,wood_gen
Ribes uva-crispa,wood_gen
Rosa canina agg.,wood_gen
Rosa micrantha,wood_gen
Rosa rubiginosa,wood_gen
Rosa sherardii,wood_gen
Rosa stylosa,wood_gen
Rosa mollis,wood_gen
Rubia peregrina,wood_gen
Rubus fruticosus,wood_gen
Rubus idaeus,wood_gen
Rumex acetosa,wood_gen
Rumex acetosella,wood_gen
Rumex conglomeratus,wood_gen
Rumex obtusifolius,wood_gen
Rumex sanguineus,wood_gen
Saponaria officinalis,wood_gen
Cytisus scoparius,wood_gen
Scrophularia auriculata,wood_gen
Scrophularia umbrosa,wood_gen
Sedum forsterianum,wood_gen
Senecio sylvaticus,wood_gen
Solanum dulcamara,wood_gen
Stachys palustris,wood_gen
Stellaria uliginosa,wood_gen
Stellaria graminea,wood_gen
Stellaria media,wood_gen
Succisa pratensis,wood_gen
Taraxacum,wood_gen
Teucrium scorodonia,wood_gen
Thalictrum minus,wood_gen
Thelypteris palustris,wood_gen
Torilis japonica,wood_gen
Trientalis europaea,wood_gen
Ulex europaeus,wood_gen
Urtica dioica,wood_gen
Vaccinium vitis-idaea,wood_gen
Veronica chamaedrys,wood_gen
Veronica hederifolia,wood_gen
Veronica officinalis,wood_gen
Vicia bithynica,wood_gen
Vicia orobus,wood_gen
Vinca minor,wood_gen
Viola arvensis,wood_gen
Viola hirta,wood_gen
Aconitum napellus,wood_spec
Adoxa moschatellina,wood_spec
Elymus caninus,wood_spec
Alchemilla filicaulis,wood_spec
Alchemilla xanthochlora,wood_spec
Allium ursinum,wood_spec
Anemone nemorosa,wood_spec
Aquilegia vulgaris,wood_spec
Arum maculatum,wood_spec
Athyrium filix-femina,wood_spec
Stachys officinalis,wood_spec
Blechnum spicant,wood_spec
Brachypodium sylvaticum,wood_spec
Bromopsis benekenii,wood_spec
Bromopsis ramosa,wood_spec
Calamagrostis canescens,wood_spec
