"","ID","siteFHD_gaps","siteFHD_gapless","mean10mFHD_gaps","sd10mFHD_gaps","mean30mFHD_gaps","sd30mFHD_gaps","mean10mFHD_gapless","sd10mFHD_gapless","mean30mFHD_gapless","sd30mFHD_gapless"
"1","1105056",3.92,3.92,3.21,0.81,3.58,0.57,3.21,0.81,3.58,0.57
"2","1105206",3.18,3.18,2.68,0.72,2.89,0.67,2.68,0.72,2.89,0.67
"3","1105464",4.15,4.15,3.58,0.62,3.74,0.51,3.58,0.62,3.74,0.51
"4","1107477",3.68,3.68,3.38,0.54,3.61,0.35,3.38,0.54,3.61,0.35
"5","1107675",3.92,3.92,3.27,0.74,3.63,0.48,3.27,0.74,3.63,0.48
"6","1107677",4,4,3.18,0.64,3.5,0.67,3.18,0.64,3.5,0.67
"7","1108137",4.43,4.43,3.74,0.75,4.07,0.48,3.74,0.75,4.07,0.48
"8","1108227",4.8,4.8,4.2,0.59,4.32,0.51,4.2,0.59,4.32,0.51
"9","1108368",3.47,3.47,2.93,0.7,3.32,0.56,2.93,0.7,3.32,0.56
"10","1115432",4.06,4.06,3.49,0.59,3.78,0.37,3.49,0.59,3.78,0.37
"11","1412786",3.05,3.05,2.72,0.54,2.95,0.43,2.72,0.54,2.95,0.43
"12","1503147",4.06,4.06,3.53,0.54,3.59,0.83,3.53,0.54,3.59,0.83
"13","182014",2.19,2.19,2.04,0.64,2.26,0.69,2.04,0.64,2.26,0.69
"14","182458",3.78,3.78,2.94,0.68,3.27,0.62,2.94,0.68,3.27,0.62
"15","183278",4.62,4.62,3.57,0.8,4.01,0.53,3.57,0.8,4.01,0.53
"16","183479",3.64,3.64,2.82,0.66,3.11,0.78,2.82,0.66,3.11,0.78
"17","186253",3.3,3.3,2.96,0.65,3.36,0.55,2.96,0.65,3.36,0.55
"18","186449",3.31,3.31,2.82,0.81,3.2,0.74,2.82,0.81,3.2,0.74
"19","186460",4.2,4.2,3.53,0.52,3.77,0.45,3.53,0.52,3.77,0.45
