"","level","site_id","area","perim","para"
"1","patch","1105056",0.08,212,0.265
"2","patch","1105056",2e-04,6,3
"3","patch","1105056",0.0087,66,0.758620689655172
"4","patch","1105056",1e-04,4,4
"5","patch","1105056",1e-04,4,4
"6","patch","1105056",0.0037,34,0.918918918918919
"7","patch","1105056",0.0015,24,1.6
"8","patch","1105056",6e-04,12,2
"9","patch","1105056",0.0089,64,0.719101123595506
"10","patch","1105056",0.0012,16,1.33333333333333
"11","patch","1105056",0.0015,20,1.33333333333333
"12","patch","1105056",0.0016,18,1.125
"13","patch","1105056",0.0236,132,0.559322033898305
"14","patch","1105056",0.0018,22,1.22222222222222
"15","patch","1105056",0.3025,856,0.28297520661157
"16","patch","1105056",7e-04,14,2
"17","patch","1105056",5e-04,12,2.4
"18","patch","1105056",0.0017,20,1.17647058823529
"19","patch","1105056",0.001,14,1.4
"20","patch","1105056",0.001,14,1.4
"21","patch","1105056",0.0112,80,0.714285714285714
"22","patch","1105056",0.0028,26,0.928571428571429
"23","patch","1105056",0.001,16,1.6
"24","patch","1105056",0.0032,32,1
"25","patch","1105056",0.0049,44,0.897959183673469
"26","patch","1105056",0.0028,26,0.928571428571429
"27","patch","1105056",0.0049,40,0.816326530612245
"28","patch","1105056",0.001,14,1.4
"29","patch","1105056",5e-04,10,2
"30","patch","1105056",0.0021,28,1.33333333333333
"31","patch","1105056",0.0033,40,1.21212121212121
"32","patch","1105056",9e-04,14,1.55555555555556
"33","patch","1105056",0.0015,18,1.2
"34","patch","1105056",5e-04,10,2
"35","patch","1105056",0.0028,26,0.928571428571429
"36","patch","1105056",0.0029,24,0.827586206896552
"37","patch","1105056",0.003,28,0.933333333333333
"38","patch","1105056",0.0011,16,1.45454545454545
"39","patch","1105056",0.0013,22,1.69230769230769
"40","patch","1105056",0.0011,16,1.45454545454545
"41","patch","1105056",9e-04,14,1.55555555555556
"42","patch","1105056",0.0022,24,1.09090909090909
"43","patch","1105056",0.0067,48,0.716417910447761
"44","patch","1105056",0.0023,22,0.956521739130435
"45","patch","1105056",9e-04,14,1.55555555555556
"46","patch","1105056",0.0048,32,0.666666666666667
"47","patch","1105056",0.0054,38,0.703703703703704
"48","patch","1105056",0.0034,28,0.823529411764706
"49","patch","1105056",8e-04,14,1.75
"50","patch","1105056",6e-04,10,1.66666666666667
"51","patch","1105056",0.0023,26,1.1304347826087
"52","patch","1105056",0.0013,18,1.38461538461538
"53","patch","1105056",5e-04,12,2.4
"54","patch","1105056",0.001,16,1.6
"55","patch","1105056",0.0017,20,1.17647058823529
"56","patch","1105056",0.0032,26,0.8125
"57","patch","1105056",0.0014,20,1.42857142857143
"58","patch","1105056",0.0013,18,1.38461538461538
"59","patch","1105056",0.0012,18,1.5
"60","patch","1105056",0.007,50,0.714285714285714
"61","patch","1105056",0.1441,324,0.224843858431645
"62","patch","1105056",0.0013,16,1.23076923076923
"63","patch","1105056",0.0058,52,0.896551724137931
"64","patch","1105056",0.0338,180,0.532544378698225
"65","patch","1105056",0.0014,18,1.28571428571429
"66","patch","1105056",8e-04,12,1.5
"67","patch","1105056",6e-04,12,2
"68","patch","1105056",0.0016,20,1.25
"69","patch","1105056",7e-04,12,1.71428571428571
"70","patch","1105056",0.0012,18,1.5
"71","patch","1105056",0.0047,44,0.936170212765957
"72","patch","1105056",5e-04,12,2.4
"73","patch","1105056",0.0339,102,0.300884955752212
"74","patch","1105056",0.2272,656,0.288732394366197
