"","ID","glcmCorrelation_mean","glcmCorrelation_sd","glcmContrast_mean","glcmContrast_sd","glcmEntropy_mean","glcmEntropy_sd"
"1","1105056",0.44,0.28,5.71,6.65,2.56,0.8
"2","1105206",0.42,0.27,8.17,7.01,2.88,0.58
"3","1105464",0.39,0.27,7.45,8.69,2.71,0.63
"4","1107477",0.41,0.27,4.62,3.62,2.82,0.39
"5","1107675",0.45,0.27,4.13,4.82,2.55,0.68
"6","1107677",0.45,0.27,3.57,4.78,2.5,0.62
"7","1108137",0.42,0.27,5.11,6.2,2.57,0.7
"8","1108227",0.36,0.28,7.99,6.8,2.92,0.4
"9","1108368",0.42,0.27,7.68,6.36,2.79,0.73
"10","1115432",0.41,0.27,5.64,5.75,2.77,0.52
"11","1412786",0.34,0.28,8.14,6.06,3.02,0.29
"12","1503147",0.42,0.27,1.42,1.73,2.12,0.59
"13","182014",0.32,0.3,1.8,2,1.81,1.09
"14","182458",0.42,0.27,8.2,8.52,2.77,0.62
"15","183278",0.41,0.27,12.82,13.87,2.89,0.63
"16","183479",0.41,0.27,5.59,6.07,2.6,0.64
"17","186253",0.38,0.27,4.84,3.09,2.89,0.32
"18","186449",0.41,0.29,8.03,8.05,2.55,0.91
"19","186460",0.39,0.28,5,4.81,2.69,0.58
"20","186969",0.36,0.27,3.66,3.47,2.59,0.61
"21","187270",0.31,0.27,5.45,4.77,2.74,0.45
"22","187818",0.37,0.29,8.15,7.82,2.58,0.92
"23","187943",0.38,0.28,9.23,8.13,2.78,0.75
"24","188912",0.4,0.27,6.02,5.26,2.86,0.41
"25","189455",0.39,0.28,4.04,4.34,2.53,0.7
"26","189594",0.44,0.27,8.43,10,2.87,0.46
"27","189646",0.36,0.28,3.9,4.07,2.35,0.92
"28","189934",0.4,0.28,5.4,4.96,2.63,0.81
"29","190325",0.51,0.28,4.21,3.92,2.81,0.43
"30","190457",0.41,0.27,4.43,4.72,2.69,0.49
"31","190783",0.43,0.28,5.74,4.07,2.8,0.68
"32","191362",0.39,0.28,8.7,9.25,2.62,0.82
