"","ID","ttops"
"1","1105056",517
"2","1105206",384
"3","1105464",662
"4","1107477",122
"5","1107675",305
"6","1107677",65
"7","1108137",554
"8","1108227",298
"9","1108368",130
"10","1115432",334
"11","1412786",403
"12","1503147",47
"13","182014",148
"14","182458",74
"15","183278",227
"16","183479",59
"17","186253",60
"18","186449",55
"19","186460",146
"20","186969",91
"21","187270",158
"22","187818",136
"23","187943",316
"24","188912",167
"25","189455",764
"26","189594",272
"27","189646",1428
"28","189934",212
"29","190325",175
"30","190457",795
"31","190783",187
"32","191362",969
"33","191694",661
"34","192053",124
"35","192145",80
"36","192417",378
"37","192446",647
"38","194918",111
"39","298822",527
"40","299021",332
"41","305284",335
"42","56429",119
"43","BF_M1",74
"44","BF_M2",188
"45","BF_P1",160
"46","CH-EW-0510-LANG",331
"47","CH-EW-1020-HEAR",542
"48","CH-EW-1020-HUC3",155
"49","CH-EW-3040-HOME",175
"50","CH-EWNC-0510-SL01",295
"51","CH-EWNC-0510-SL02",187
"52","CH-EWNC-1020-HUC1",59
"53","CH-EWNC-2030-BLAC",578
"54","CH-EWNC-2030-BULW",203
"55","CH-EWNC-2030-FAMN",215
"56","CH-EWNC-6000-FAM2",208
"57","CH-EWNC-6000-NORT",266
"58","CH-EWNC-6000-PRES",76
"59","CH-EWPL-0510-SL12",104
"60","CH-EWPL-1020-HUC1",76
"61","CH-EWPL-2030-BLAC",127
"62","CH-EWPL-2030-BULW",350
"63","CH-EWPL-2030-FAMN",53
"64","CH-EWPL-6000-FAM2",192
"65","CH-EWPL-6000-NORT",153
"66","CH-EWPL-6000-PRES",52
"67","CH-NC-0510-LANG",32
"68","CH-NC-0510-SL01",34
"69","CH-NC-0510-SL02",8
"70","CH-NC-1020-HEAR",7
"71","CH-NC-1020-HUC1",77
"72","CH-NC-1020-HUC3",43
"73","CH-NC-2030-BLAC",400
"74","CH-NC-2030-BULW",246
"75","CH-NC-2030-FAMN",337
"76","CH-NC-3040-HOME",253
"77","CH-NC-6000-FAM2",72
"78","CH-NC-6000-NORT",197
"79","CH-NC-6000-PRES",84
"80","CH-PL-0510-LANG",17
"81","CH-PL-0510-SL12",0
"82","CH-PL-1020-HEAR",11
"83","CH-PL-1020-HUC1",58
"84","CH-PL-1020-HUC3",329
"85","CH-PL-2030-BLAC",71
"86","CH-PL-2030-BULW",81
"87","CH-PL-2030-FAMN",137
"88","CH-PL-3040-HOME",181
"89","CH-PL-6000-FAM2",58
"90","CH-PL-6000-NORT",112
"91","CH-PL-6000-PRES",486
"92","CS_M1",366
"93","CS_M2",46
"94","CS_M4",57
"95","CS_P1",460
"96","DP_M1",171
"97","DP_M2",258
"98","DP_M3",808
"99","DP_M4",122
"100","DP_P1",31
"101","DW_M1",113
"102","DW_M2",218
"103","DW_M3",454
"104","DW_M4",252
"105","DW_P1",222
"106","EA-EW-1020-LOSH",36
"107","EA-EWNC-0510-ARG2",255
"108","EA-EWNC-1020-HIGH",372
"109","EA-EWNC-1020-SUGL",622
"110","EA-EWNC-2030-ARG1",432
"111","EA-EWNC-2030-WIL2",278
"112","EA-EWNC-3040-WIL3",275
"113","EA-EWNC-6000-HAYL",2821
"114","EA-EWNC-6000-WIL4",794
"115","EA-EWPL-1020-HIGH",31
"116","EA-EWPL-1020-SUGL",3797
"117","EA-EWPL-2030-ARG1",290
"118","EA-EWPL-3040-WIL3",95
"119","EA-EWPL-6000-HAYL",2263
"120","EA-EWPL-6000-WIL4",563
"121","EA-NC-0510-ARG2",19
"122","EA-NC-1020-HIGH",37
"123","EA-NC-1020-LOSH",123
"124","EA-NC-1020-SUGL",117
"125","EA-NC-2030-ARG1",499
"126","EA-NC-2030-WIL2",121
"127","EA-NC-3040-WIL3",123
"128","EA-NC-6000-HAYL",155
"129","EA-NC-6000-WIL4",245
"130","EA-PL-1020-HIGH",56
"131","EA-PL-1020-LOSH",51
"132","EA-PL-1020-SUGL",43
"133","EA-PL-2030-ARG1",179
"134","EA-PL-3040-WIL3",188
"135","EA-PL-6000-HAYL",481
"136","EA-PL-6000-WIL4",441
"137","FF_M1",268
"138","FF_M2",36
"139","FF_P1",52
"140","FL_M1",813
"141","FL_M2",49
"142","FL_M4",91
"143","FL_P1",165
"144","HF_M1",808
"145","HF_M2",694
"146","HF_M3",44
"147","HF_M4",72
"148","HF_P1",628
"149","LB_M1",145
"150","LB_M2",223
"151","LB_M3",1282
"152","LB_M4",24
"153","LB_P1",85
"154","MG_M1",260
"155","MG_M2",847
"156","MG_M3",79
"157","MG_M4",230
"158","MG_P1",376
"159","SE-EW-1020-COMF",68
"160","SE-EW-1020-VICT",424
"161","SE-EWNC-1020-HAIN",330
"162","SE-EWNC-2030-OLDP",317
"163","SE-EWNC-3040-RAVE",126
"164","SE-EWNC-6000-BOWD",508
"165","SE-EWPL-1020-HAIN",37
"166","SE-EWPL-2030-OLDP",99
"167","SE-EWPL-3040-RAVE",101
"168","SE-EWPL-5060-BOWD",243
"169","SE-NC-1020-COMF",1
"170","SE-NC-1020-HAIN",226
"171","SE-NC-1020-VICT",16
"172","SE-NC-2030-OLDP",60
"173","SE-NC-3040-RAVE",479
"174","SE-NC-6000-BOWD",301
"175","SE-PL-1020-COMF",0
"176","SE-PL-1020-HAIN",114
"177","SE-PL-1020-VICT",58
"178","SE-PL-2030-OLDP",494
"179","SE-PL-3040-RAVE",246
"180","SE-PL-5060-BOWD",113
"181","SH_M1",305
"182","SH_M2",679
"183","SH_P1",166
"184","WE-EWNC-1020-PIDD",708
"185","WE-EWNC-1020-SWAN",232
"186","WE-EWNC-2030-CHUR",263
"187","WE-EWNC-3040-WYTH",204
"188","WE-EWPL-1020-PIDD",187
"189","WE-EWPL-1020-SWAN",72
"190","WE-EWPL-2030-CHUR",204
"191","WE-EWPL-3040-WYTH",83
"192","WE-NC-1020-PIDD",30
"193","WE-NC-1020-SWAN",159
"194","WE-NC-2030-CHUR",110
"195","WE-NC-3040-WYTH",20
"196","WE-PL-1020-PIDD",674
"197","WE-PL-1020-SWAN",45
"198","WE-PL-2030-CHUR",62
"199","WE-PL-3040-WYTH",109
"200","WT4509",615
"201","WT4688",2051
"202","WT4691",1882
"203","WT4832",503
"204","WT4945",300
"205","WT4975",166
"206","WT5163",365
"207","WT5210",446
"208","WT5226",210
"209","WT5231",212
"210","WT5233",437
"211","WT5291",263
