OBJECTID,WorkAreaID,CaseRef,SubCpt,PropName,FSArea,CaseType,DateApprv,Timeline,Comments,Time1,action1,Time2,action2,Time3,action3
26644,153048,22439,23,Royal Agricultural Society of England,North West and West Midlands,EWGS,04/08/2010,Felled 2022,,2020,Origin,2023,Felled,,
29013,173679,24518,31c,Trench Wood,North West and West Midlands,EWGS,03/12/2010,Ride creation 2007-2017,,2006,Origin,2018,Ride creation,,
62461,137421,21136,46b,Englefield Estate The Ovens,South East and London,EWGS,31/03/2010,Felled 2010,,2009,Origin,2011,Felled,,
62498,136374,20994,3,Knowsley MBC - Year 1 tasks,North West and West Midlands,EWGS,01/02/2010,Ride creation 2018,,2017,Origin,2019,Ride creation,,
66294,144358,21099,1,Redhouse,Yorkshire and North East,,10/01/2012,Thinned 2007-2013,,2006,Origin,2014,Thinned,,
67561,143352,21674,2,Colton Beck Woods - BIO WIG,North West and West Midlands,EWGS,22/02/2010,Thinned 2018,,2017,Origin,2019,Thinned,,
68411,167227,23129,27,Croxdale - WIG,Yorkshire and North East,EWGS,14/10/2010,"felled 2007-2009, Tree removal 2018",Lots happening in the wider site,2007,Origin,2010,Felled,2019,Thinned
69259,143293,21667,1,Capel Wood,South East and London,,09/05/2016,"Gap creation 2019-2020, Thinned 2024-2025",,2018,Origin,2021,Gap creation,2025,Thinned
69783,151305,22216,33,Hardres Court Farm,South East and London,,18/08/2012,Thinned 2007-2011,,2006,Origin,2012,Thinned,,
78903,161649,23162,2,Roundhill Wood,North West and West Midlands,EWGS,14/09/2010,Thinned 2007-2017,,2007,Origin,2018,Thinned,,
78904,161654,23162,7,Roundhill Wood,North West and West Midlands,EWGS,14/09/2010,Thinned 2024,,2023,Origin,2024,Thinned,,
80900,153136,22446,8b,Southerly Park Estate,North West and West Midlands,EWGS,24/08/2010,Thinned 2005-2007,,2005,Origin,2007,Thinned,,
82588,139742,21344,33,Leigh Hill,South West,,26/07/2012,Thinned 2010-2013,,2009,Origin,2014,Thinned,,
85495,167228,23129,28,Croxdale - WIG,Yorkshire and North East,EWGS,14/10/2010,Thinned 2021-2023,,2020,Origin,2024,Thinned,,
89340,173678,24518,31a,Trench Wood,North West and West Midlands,EWGS,03/12/2010,Thinned 2007 -2017,,2006,Origin,2017,Thinned,,
98845,189364,25629,37c,Worcs Wildlife Trust Central Woodlands,North West and West Midlands,EWGS,09/05/2011,Thinned 2007-2024,,2006,Origin,2024,Thinned,,
98948,189343,25629,31c,Worcs Wildlife Trust Central Woodlands,North West and West Midlands,EWGS,09/05/2011,thinned 2007-2017,,2006,Origin,2018,Thinned,,
98959,189371,25629,41,Worcs Wildlife Trust Central Woodlands,North West and West Midlands,EWGS,09/05/2011,thinned 2020-2021,,2019,Origin,2021,Thinned,,
98963,189295,25629,5b,Worcs Wildlife Trust Central Woodlands,North West and West Midlands,EWGS,09/05/2011,Thinned 2023-2025,,2022,Origin,2025,Thinned,,
98964,189296,25629,6a,Worcs Wildlife Trust Central Woodlands,North West and West Midlands,EWGS,09/05/2011,Thinned 2023-2025 - already thinned in 2007,,2022,Origin,2025,Thinned,,
99012,189339,25629,30,Worcs Wildlife Trust Central Woodlands,North West and West Midlands,EWGS,09/05/2011,Thinned 2007-2017,,2006,Origin,2018,Thinned,,
99014,189345,25629,32a,Worcs Wildlife Trust Central Woodlands,North West and West Midlands,EWGS,09/05/2011,Thinned 2007-2017,,2006,Origin,2018,Thinned,,
99017,189351,25629,33,Worcs Wildlife Trust Central Woodlands,North West and West Midlands,EWGS,09/05/2011,Thinned 2017-2020,,2016,Origin,2021,Thinned,,
99022,189356,25629,36b,Worcs Wildlife Trust Central Woodlands,North West and West Midlands,EWGS,09/05/2011,Thinned 2021-2023,,2020,Origin,2024,Thinned,,
99025,189365,25629,37d,Worcs Wildlife Trust Central Woodlands,North West and West Midlands,EWGS,09/05/2011,Felled 2006-2007,,2005,Origin,2008,Felled,,
99892,189299,25629,7a,Worcs Wildlife Trust Central Woodlands,North West and West Midlands,EWGS,09/05/2011,Thinned 2005-2007,,2004,Origin,2008,Thinned,,
