"","scpt","cpmt","management_prescription","last_thinned","next_thin_date","selection_type","species","plyr","next_intervention_year","next_intervention_type","heightChange","gapArea_2017","gapArea_2024","meanFHD_2017","meanFHD_2024","stems_2017","stems_2024"
"1","C",4228,NA,"2017<2024",2027,"Line Intermediate","Hybrid larch",2002,2027,"Felling",0.398446889650161,294.216042611457,1561.14617195958,1.83380952380952,1.99321428571429,134,138
"2","F",4439,"Thin CP and underplant
Develop young SP into groups thinning to develop crowns ","2017<2024",2032,"Crown","Scots pine",1928,-1,"Felling",-2.44874853695656,401.301444286255,1240.93213497563,2.04305555555556,2.22236111111111,76,85
"3","C",3234,NA,"2017<2024",2024,"Intermediate","Oak (robur/petraea)",1915,-1,"Felling",3.57688375517131,1224.91422254658,650.485474993788,1.64401515151515,1.43287878787879,215,196
"4","O",3505,NA,"< 2016",2025,"Intermediate","Douglas fir",1970,NA,NA,2.370818273289,0,0,1.598125,1.398125,17,17
"5","F",3233,NA,"< 2016",2031,"Neutral","Oak (robur/petraea)",1816,-1,"Felling",2.7600789228708,601.448660178561,281.209787955318,1.49714285714286,1.49185714285714,33,35
"6","D",3221,NA,"2017<2024",2024,"No Thin","Corsican pine",1967,-1,"Felling",3.0623246146178,189.141060031216,27.0201429935769,1.63745454545455,1.43218181818182,63,61
"7","F",4620,NA,"2017<2024",2025,"Line Intermediate","Hybrid larch",1995,-1,"Felling",0.718597245001163,0,17.0127472891108,1.26142857142857,1.24207792207792,103,109
"8","E",3221,NA,"2017<2024",2024,"Intermediate","Douglas fir",1967,-1,NA,3.56485762169662,87.0648731566107,0,1.56228571428571,1.53371428571429,48,53
"9","D",4519,NA,"2017<2024",2028,"Crown","Scots pine",1906,2026,NA,-0.18804990949295,1601.20828721674,1014.76575534747,2.11333333333333,2.09857142857143,44,39
"10","L",3302,NA,"2017<2024",2024,"Intermediate","Norway spruce",1965,2030,"Felling",0.0253358489340402,831.621925449072,1149.85986175935,1.98222222222222,2.05714285714286,95,85
"11","B",4428,NA,"2017<2024",2027,"Intermediate","Norway spruce",1964,-1,"Felling",-0.155650791314295,290.218138653028,450.338459312588,1.44242424242424,1.46348484848485,276,272
"12","D",4211,NA,"2017<2024",NA,"","Sweet chestnut",2019,2044,"Felling",-2.26248180003307,624.466881206674,4245.1739261856,2.01962962962963,2.13907407407407,71,56
