Year,Site_ID,Country,Date,Collection_no,No_of_traps,Species,Species_occ
2013,4251,2,01/07/2013,1,7,Abax.parallelepipedus,0
2013,4251,2,01/07/2013,1,7,Acidota.cruentata,0
2013,4251,2,01/07/2013,1,7,Agabus.didymus,0
2013,4251,2,01/07/2013,1,7,Agonum.fuliginosum,0
2013,4251,2,01/07/2013,1,7,Agonum.gracile,0
2013,4251,2,01/07/2013,1,7,Agonum.micans,0
2013,4251,2,01/07/2013,1,7,Agriotes.lineatus,0
2013,4251,2,01/07/2013,1,7,Agriotes.obscurus,0
2013,4251,2,01/07/2013,1,7,Agriotes.pallidulus,0
2013,4251,2,01/07/2013,1,7,Agriotes.sputator,0
2013,4251,2,01/07/2013,1,7,Aleocharinae,3
2013,4251,2,01/07/2013,1,7,Anchomenus.dorsalis,0
2013,4251,2,01/07/2013,1,7,Anotylus.inustus,0
2013,4251,2,01/07/2013,1,7,Anotylus.rugosus,0
2013,4251,2,01/07/2013,1,7,Anotylus.sculpturatus,0
2013,4251,2,01/07/2013,1,7,Aphodius.depressus,0
2013,4251,2,01/07/2013,1,7,Aphodius.fimetarius,0
2013,4251,2,01/07/2013,1,7,Aphodius.rufipes,0
2013,4251,2,01/07/2013,1,7,Athous.haemorrhoidalis,0
2013,4251,2,01/07/2013,1,7,Bembidion.lampros,0
2013,4251,2,01/07/2013,1,7,Bembidion.mannerheimii,0
2013,4251,2,01/07/2013,1,7,Bembidion.saxatile,0
2013,4251,2,01/07/2013,1,7,Bisnius.fimetarius,0
2013,4251,2,01/07/2013,1,7,Calathus.rotundicollis,0
2013,4251,2,01/07/2013,1,7,Cantharis.rustica,0
2013,4251,2,01/07/2013,1,7,Carabus.problematicus,0
2013,4251,2,01/07/2013,1,7,Carabus.violaceus,0
2013,4251,2,01/07/2013,1,7,Cartodere.nodifer,0
2013,4251,2,01/07/2013,1,7,Cassida.flaveola,0
2013,4251,2,01/07/2013,1,7,Catops.morio,0
2013,4251,2,01/07/2013,1,7,Choleva.jeanneli,0
2013,4251,2,01/07/2013,1,7,Choleva.oblonga,0
2013,4251,2,01/07/2013,1,7,Cholevinae..Genus.Catops,0
2013,4251,2,01/07/2013,1,7,Clivina.fossor,0
2013,4251,2,01/07/2013,1,7,Cryptophagidae..Genus.Atomaria,0
2013,4251,2,01/07/2013,1,7,Cychrus.caraboides,0
2013,4251,2,01/07/2013,1,7,Elaphrus.cupreus,0
2013,4251,2,01/07/2013,1,7,Exomias.araneiformis,0
