Site,Plot,ID,Order ,Species ,Count,Type
BF,BF_M1_1,BF_M1,Coleoptera,Notiophilus rufipes,1,Mature
BF,BF_M1_1,BF_M1,Coleoptera,Amara ovata,1,Mature
BF,BF_M1_3,BF_M1,Araneae,Linyphiidae,3,Mature
BF,BF_M1_3,BF_M1,Araneae,Notiophilus biguttatus,1,Mature
BF,BF_M1_4,BF_M1,Coleoptera,Abax parallelepipedus,2,Mature
BF,BF_M1_4,BF_M1,Coleoptera,Pirata hygrophilus,1,Mature
BF,BF_M1_4,BF_M1,Coleoptera,Linyphiidae,2,Mature
BF,BF_M1_4,BF_M1,Coleoptera,Notiophilus rufipes,1,Mature
BF,BF_M1_5,BF_M1,Coleoptera,Abax parallelepipedus,3,Mature
BF,BF_M1_5,BF_M1,Araneae,Linyphiidae,1,Mature
BF,BF_M1_6,BF_M1,Coleoptera,Abax parallelepipedus,1,Mature
BF,BF_M2_1,BF_M2,Coleoptera,Pterostichus madidus,3,Mature
BF,BF_M2_1,BF_M2,Coleoptera,Nebria brevicollis,4,Mature
BF,BF_M2_1,BF_M2,Araneae,Dysdera erythina,1,Mature
BF,BF_M2_1,BF_M2,Araneae,Linyphiidae,1,Mature
BF,BF_M2_1,BF_M2,Coleoptera,Notiophilus rufipes,1,Mature
BF,BF_M2_2,BF_M2,Araneae,Linyphiidae,6,Mature
BF,BF_M2_3,BF_M2,Araneae,Linyphiidae,1,Mature
BF,BF_M2_4,BF_M2,Coleoptera,Nebria brevicollis,2,Mature
BF,BF_M2_5,BF_M2,Coleoptera,Nebria brevicollis,3,Mature
BF,BF_M2_5,BF_M2,Coleoptera,Pterostichus madidus,1,Mature
BF,BF_M2_5,BF_M2,Coleoptera,Notiophilus rufipes,1,Mature
BF,BF_M2_5,BF_M2,Araneae,Linyphiidae,2,Mature
BF,BF_M2_6,BF_M2,Coleoptera,Pterostichus madidus,1,Mature
BF,BF_M2_6,BF_M2,Coleoptera,Abax parallelepipedus,1,Mature
BF,BF_P1_1,BF_P1,Araneae,Pachygnatha degeeri,1,PL
BF,BF_P1_1,BF_P1,Araneae,Linyphiidae,2,PL
BF,BF_P1_1,BF_P1,Araneae,Dysdera erythina,1,PL
BF,BF_P1_3,BF_P1,Araneae,Linyphiidae,1,PL
BF,BF_P1_3,BF_P1,Coleoptera,Bembidion lampros,1,PL
BF,BF_P1_3,BF_P1,Araneae,Dysdera erythina,1,PL
BF,BF_P1_3,BF_P1,Araneae,Linyphiidae,2,PL
BF,BF_P1_5,BF_P1,Araneae,Pirata hygrophilus,2,PL
BF,BF_P1_6,BF_P1,Araneae,Pachygnatha degeeri,1,PL
BF,BF_P1_6,BF_P1,Araneae,Linyphiidae,1,PL
BF,BF_P2_1,BF_P2,Araneae,Pirata hygrophilus,1,PL
BF,BF_P2_1,BF_P2,Coleoptera,Notiophilus biguttatus,1,PL
BF,BF_P2_1,BF_P2,Coleoptera,Harpalus rufipes,1,PL
BF,BF_P2_1,BF_P2,Coleoptera,Badister bullatus,1,PL
BF,BF_P2_2,BF_P2,Araneae,Linyphiidae,2,PL
BF,BF_P2_2,BF_P2,Coleoptera,Abax parallelepipedus,1,PL
BF,BF_P2_3,BF_P2,Araneae,Linyphiidae,2,PL
BF,BF_P2_3,BF_P2,Araneae,Pardosa palustris,1,PL
BF,BF_P2_4,BF_P2,Coleoptera,Nebria brevicollis,1,PL
BF,BF_P2_4,BF_P2,Araneae,Pisaura mirabilis,1,PL
BF,BF_P2_5,BF_P2,Araneae,Linyphiidae,2,PL
CS,CS_M1_1,CS_M1,Coleoptera,Abax parallelepipedus,2,Mature
CS,CS_M1_1,CS_M1,Coleoptera,Pterostichus madidus,3,Mature
CS,CS_M1_1,CS_M1,Araneae,Linyphiidae,5,Mature
CS,CS_M1_1,CS_M1,Coleoptera,Notiophilus rufipes,2,Mature
CS,CS_M1_2,CS_M1,Coleoptera,Abax parallelepipedus,2,Mature
CS,CS_M1_2,CS_M1,Coleoptera,Pterostichus madidus,1,Mature
CS,CS_M1_2,CS_M1,Coleoptera,Notiophilus rufipes,1,Mature
CS,CS_M1_3,CS_M1,Coleoptera,Abax parallelepipedus,1,Mature
CS,CS_M1_3,CS_M1,Araneae,Linyphiidae,3,Mature
CS,CS_M1_4,CS_M1,Coleoptera,Abax parallelepipedus,2,Mature
CS,CS_M1_4,CS_M1,Araneae,Linyphiidae,3,Mature
CS,CS_M1_4,CS_M1,Coleoptera,Nebria brevicollis,1,Mature
CS,CS_M1_4,CS_M1,Coleoptera,Notiophilus rufipes,1,Mature
CS,CS_M1_4,CS_M1,Coleoptera,Pterostichus madidus,1,Mature
CS,CS_M1_5,CS_M1,Coleoptera,Abax parallelepipedus,2,Mature
CS,CS_M1_5,CS_M1,Coleoptera,Carabus nemoralis ,1,Mature
CS,CS_M1_5,CS_M1,Araneae,Linyphiidae,1,Mature
CS,CS_M1_5,CS_M1,Coleoptera,Notiophilus rufipes,1,Mature
CS,CS_M1_5,CS_M1,Coleoptera,Pterostichus madidus,1,Mature
CS,CS_M1_6,CS_M1,Coleoptera,Abax parallelepipedus,2,Mature
CS,CS_M1_6,CS_M1,Coleoptera,Bycatch,13,Mature
CS,CS_M1_6,CS_M1,Araneae,Linyphiidae,2,Mature
