Source,Site,Type,ID,Age,plotID,Species,Latin.name,h.Code
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70B,Common bent,Agrostis capillaris,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150B,Common bent,Agrostis capillaris,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70A,Common bent,Agrostis capillaris,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30B,Common bent,Agrostis capillaris,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70B,Creeping bent,Agrostis stolonifera,Generalist
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60A,Garlic mustard,Alliaria petiolata,Generalist
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60A,Wood anemone,Anemone nemorosa ,Non-woodland
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60A,Angelica,Angelica sylvestris,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70A,Angelica,Angelica sylvestris,Generalist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG170-150A,Wild angelica,Angelica sylvestris,Generalist
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60B,False oat grass,Arrhenatherum elatius,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70B,False oat grass,Arrhenatherum elatius,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150A,False oat grass,Arrhenatherum elatius,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150B,False oat grass,Arrhenatherum elatius,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70A,False oat grass,Arrhenatherum elatius,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30B,False oat grass,Arrhenatherum elatius,Generalist
