SiteID,Type,Latin.name,h.Code,Age,Development_stage,Tree.dens,Tree.dbh.mean,Tree.dbh.sd,Area,Near.BL,BL.3000,ToW.2000,Seminat_exc_wood_prop.500
56429,PL,Agrostis stolonifera,Generalist,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Alliaria petiolata,Generalist,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Alopecurus pratensis,Non-woodland,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Anthriscus sylvestris,Generalist,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Arctium minus,Generalist,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Arum maculatum,Specialist,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Brachypodium sylvaticum,Specialist,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Carex flacca,Non-woodland,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Carex otrubae,Non-woodland,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Cirsium arvense,Non-woodland,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Dactylis glomerata,Generalist,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Galium aparine,Generalist,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Geranium robertianum,Specialist,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Geum urbanum,Generalist,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Glechoma hederacea,Generalist,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Hedera helix,Generalist,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Heracleum sphondylium,Generalist,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Holcus lanatus,Generalist,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Juncus effusus,Generalist,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Juncus inflexus,Non-woodland,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Lolium perenne,Non-woodland,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Poa trivialis,Generalist,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Rosa canina agg.,Generalist,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Rubus fruticosus,Generalist,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Rumex sanguineus,Generalist,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
56429,PL,Urtica dioica,Generalist,50,Stem exclusion,2014,19.2,12.3,1.88,318,0.071060833,0.052426862,0
182014,PL,Agrostis stolonifera,Generalist,10,Stand initiation,1531,14.2,4.9,1.96,210,0.033280666,0.07250733,0
182014,PL,Anthriscus sylvestris,Generalist,10,Stand initiation,1531,14.2,4.9,1.96,210,0.033280666,0.07250733,0
182014,PL,Arrhenatherum elatius,Generalist,10,Stand initiation,1531,14.2,4.9,1.96,210,0.033280666,0.07250733,0
182014,PL,Bromus hordeaceus,Non-woodland,10,Stand initiation,1531,14.2,4.9,1.96,210,0.033280666,0.07250733,0
182014,PL,Cerastium fontanum,Non-woodland,10,Stand initiation,1531,14.2,4.9,1.96,210,0.033280666,0.07250733,0
182014,PL,Galium aparine,Generalist,10,Stand initiation,1531,14.2,4.9,1.96,210,0.033280666,0.07250733,0
182014,PL,Heracleum sphondylium,Generalist,10,Stand initiation,1531,14.2,4.9,1.96,210,0.033280666,0.07250733,0
182014,PL,Holcus lanatus,Generalist,10,Stand initiation,1531,14.2,4.9,1.96,210,0.033280666,0.07250733,0
182014,PL,Hyacinthoides non-scripta,Specialist,10,Stand initiation,1531,14.2,4.9,1.96,210,0.033280666,0.07250733,0
182014,PL,Medicago lupulina,Non-woodland,10,Stand initiation,1531,14.2,4.9,1.96,210,0.033280666,0.07250733,0
182014,PL,Myosotis arvensis,Generalist,10,Stand initiation,1531,14.2,4.9,1.96,210,0.033280666,0.07250733,0
182014,PL,Narcissus pseudonarcissus,Specialist,10,Stand initiation,1531,14.2,4.9,1.96,210,0.033280666,0.07250733,0
182014,PL,Poa trivialis,Generalist,10,Stand initiation,1531,14.2,4.9,1.96,210,0.033280666,0.07250733,0
