Site,Collection,Trap.date,Country,Jul_day,Species,Count,Species_occ
164440,1,16/06/2015,Scotland,167,Baccha.elongata,0,0
164440,1,16/06/2015,Scotland,167,Chalcosyrphus.nemorum,0,0
164440,1,16/06/2015,Scotland,167,Cheilosia.albitarsis,0,0
164440,1,16/06/2015,Scotland,167,Cheilosia.albitarsis.ranunculi,0,0
164440,1,16/06/2015,Scotland,167,Cheilosia.pagana,0,0
164440,1,16/06/2015,Scotland,167,Chrysotoxum.arcuatum,0,0
164440,1,16/06/2015,Scotland,167,Chrysotoxum.bicinctum,0,0
164440,1,16/06/2015,Scotland,167,Chrysotoxum.elegans,0,0
164440,1,16/06/2015,Scotland,167,Chrysotoxum.verralli,0,0
164440,1,16/06/2015,Scotland,167,Criorhina.berberina,0,0
164440,1,16/06/2015,Scotland,167,Criorhina.flocosa,0,0
164440,1,16/06/2015,Scotland,167,Dasysyrphus.albostriatus,0,0
164440,1,16/06/2015,Scotland,167,Dasysyrphus.venustus,0,0
164440,1,16/06/2015,Scotland,167,Epistrophe.eligans,0,0
164440,1,16/06/2015,Scotland,167,Epistrophe.grossulaire,0,0
164440,1,16/06/2015,Scotland,167,Epistrophe.nitidicollis,0,0
164440,1,16/06/2015,Scotland,167,Episyrphus.balteatus,0,0
164440,1,16/06/2015,Scotland,167,Eristalis.abusivus,0,0
164440,1,16/06/2015,Scotland,167,Eristalis.pertinax,0,0
164440,1,16/06/2015,Scotland,167,Eupeodes.bucculatus.agg.,0,0
164440,1,16/06/2015,Scotland,167,Eupeodes.corollae,0,0
164440,1,16/06/2015,Scotland,167,Eupeodes.latifasciatus,0,0
164440,1,16/06/2015,Scotland,167,Eupeodes.luniger,0,0
164440,1,16/06/2015,Scotland,167,Ferdinandea.cuprea,0,0
164440,1,16/06/2015,Scotland,167,Helophilus.pendulus,0,0
164440,1,16/06/2015,Scotland,167,Leucozona.lucorum,0,0
164440,1,16/06/2015,Scotland,167,Melanogaster.hirtella,0,0
164440,1,16/06/2015,Scotland,167,Melanostoma.mellinum,0,0
164440,1,16/06/2015,Scotland,167,Melanostoma.scalare,0,0
164440,1,16/06/2015,Scotland,167,Meligramma.trianguliferum,0,0
164440,1,16/06/2015,Scotland,167,Meliscaeva.auricollis,0,0
164440,1,16/06/2015,Scotland,167,Myathropa.florea,0,0
164440,1,16/06/2015,Scotland,167,Myolepta.dubia,0,0
164440,1,16/06/2015,Scotland,167,Pipiza.austriala..bimaculatum,0,0
164440,1,16/06/2015,Scotland,167,Pipiza.noctiluca,0,0
164440,1,16/06/2015,Scotland,167,Platycheirus.albimanus,0,0
164440,1,16/06/2015,Scotland,167,Platycheirus.angustatus,0,0
164440,1,16/06/2015,Scotland,167,Platycheirus.clypeatus,0,0
164440,1,16/06/2015,Scotland,167,Platycheirus.europaeus,0,0
164440,1,16/06/2015,Scotland,167,Platycheirus.granditarsus,0,0
164440,1,16/06/2015,Scotland,167,Platycheirus.manicatus,0,0
164440,1,16/06/2015,Scotland,167,Platycheirus.occultus,0,0
164440,1,16/06/2015,Scotland,167,Platycheirus.nielseni,0,0
164440,1,16/06/2015,Scotland,167,Platycheirus.peltatus,0,0
164440,1,16/06/2015,Scotland,167,Platycheirus.scambus,0,0
164440,1,16/06/2015,Scotland,167,Platycheirus.aurolateralis.scutatus.splendidus,0,0
164440,1,16/06/2015,Scotland,167,Platycheirus.scutatus,0,0
164440,1,16/06/2015,Scotland,167,Platycheirus.splendidus,0,0
164440,1,16/06/2015,Scotland,167,Platycheirus.sticticus,0,0
164440,1,16/06/2015,Scotland,167,Rhingia.campestris,0,0
164440,1,16/06/2015,Scotland,167,Rhingia.rostrata,0,0
164440,1,16/06/2015,Scotland,167,Riponnensia.splendens,0,0
164440,1,16/06/2015,Scotland,167,Scaeva.selenitica.dignota,0,0
164440,1,16/06/2015,Scotland,167,Sericomyia.silentis,0,0
164440,1,16/06/2015,Scotland,167,Sphaerophoria.scripta,0,0
164440,1,16/06/2015,Scotland,167,Sphaerophoria.sp.,0,0
164440,1,16/06/2015,Scotland,167,Syrphus.ribesii,0,0
164440,1,16/06/2015,Scotland,167,Syrphus.sp.,0,0
164440,1,16/06/2015,Scotland,167,Syrphus.torvus,0,0
164440,1,16/06/2015,Scotland,167,Syrphus.vitripennis,0,0
164440,1,16/06/2015,Scotland,167,Syrphus.vitripennis.rectus,0,0
164440,1,16/06/2015,Scotland,167,Volucella.bombylans,0,0
164440,1,16/06/2015,Scotland,167,Xanthogramma.pedissequum,0,0
164440,1,16/06/2015,Scotland,167,Xylota.segnis,0,0
164440,1,16/06/2015,Scotland,167,Xylota.sylvarum,0,0
164440,2,21/07/2015,Scotland,202,Baccha.elongata,0,0
164440,2,21/07/2015,Scotland,202,Chalcosyrphus.nemorum,0,0
164440,2,21/07/2015,Scotland,202,Cheilosia.albitarsis,0,0
164440,2,21/07/2015,Scotland,202,Cheilosia.albitarsis.ranunculi,0,0
164440,2,21/07/2015,Scotland,202,Cheilosia.pagana,0,0
164440,2,21/07/2015,Scotland,202,Chrysotoxum.arcuatum,0,0
164440,2,21/07/2015,Scotland,202,Chrysotoxum.bicinctum,0,0
164440,2,21/07/2015,Scotland,202,Chrysotoxum.elegans,0,0
164440,2,21/07/2015,Scotland,202,Chrysotoxum.verralli,0,0
164440,2,21/07/2015,Scotland,202,Criorhina.berberina,0,0
164440,2,21/07/2015,Scotland,202,Criorhina.flocosa,0,0
164440,2,21/07/2015,Scotland,202,Dasysyrphus.albostriatus,0,0
164440,2,21/07/2015,Scotland,202,Dasysyrphus.venustus,0,0
164440,2,21/07/2015,Scotland,202,Epistrophe.eligans,0,0
164440,2,21/07/2015,Scotland,202,Epistrophe.grossulaire,0,0
164440,2,21/07/2015,Scotland,202,Epistrophe.nitidicollis,0,0
164440,2,21/07/2015,Scotland,202,Episyrphus.balteatus,0,0
164440,2,21/07/2015,Scotland,202,Eristalis.abusivus,0,0
164440,2,21/07/2015,Scotland,202,Eristalis.pertinax,0,0
164440,2,21/07/2015,Scotland,202,Eupeodes.bucculatus.agg.,0,0
164440,2,21/07/2015,Scotland,202,Eupeodes.corollae,0,0
164440,2,21/07/2015,Scotland,202,Eupeodes.latifasciatus,0,0
164440,2,21/07/2015,Scotland,202,Eupeodes.luniger,0,0
164440,2,21/07/2015,Scotland,202,Ferdinandea.cuprea,0,0
164440,2,21/07/2015,Scotland,202,Helophilus.pendulus,0,0
164440,2,21/07/2015,Scotland,202,Leucozona.lucorum,0,0
164440,2,21/07/2015,Scotland,202,Melanogaster.hirtella,0,0
164440,2,21/07/2015,Scotland,202,Melanostoma.mellinum,0,0
164440,2,21/07/2015,Scotland,202,Melanostoma.scalare,0,0
164440,2,21/07/2015,Scotland,202,Meligramma.trianguliferum,0,0
164440,2,21/07/2015,Scotland,202,Meliscaeva.auricollis,0,0
164440,2,21/07/2015,Scotland,202,Myathropa.florea,0,0
164440,2,21/07/2015,Scotland,202,Myolepta.dubia,0,0
164440,2,21/07/2015,Scotland,202,Pipiza.austriala..bimaculatum,0,0
164440,2,21/07/2015,Scotland,202,Pipiza.noctiluca,0,0
164440,2,21/07/2015,Scotland,202,Platycheirus.albimanus,0,0
164440,2,21/07/2015,Scotland,202,Platycheirus.angustatus,0,0
164440,2,21/07/2015,Scotland,202,Platycheirus.clypeatus,0,0
164440,2,21/07/2015,Scotland,202,Platycheirus.europaeus,0,0
164440,2,21/07/2015,Scotland,202,Platycheirus.granditarsus,0,0
164440,2,21/07/2015,Scotland,202,Platycheirus.manicatus,0,0
