ID,stemDensityHA,dbhMean,dbhSD
56429,2014,19.2,0
182014,1531,14.2,0
182458,296,46.8,0
183278,333,46.3,0
183479,355,54.4,0
186253,1321,18.5,0
186449,629,34.6,0
186460,973,21.5,0
186969,757,21.6,0
187270,737,32.7,0
187943,398,34.4,0
188912,1187,24,0
189455,398,25.6,0
189594,527,20.4,0
189646,2115,14.1,0
189934,906,25,0
190325,230,24.4,0
190457,709,23.9,0
190783,1662,16.2,0
191362,290,41.3,0
192053,1287,21.5,0
192417,1832,21.4,0
192446,639,14.2,0
194918,1176,8.1,0
299021,568,26.3,0
305284,535,23.3,0
1105056,279.8,49.3,0
1105206,611.9,28.1,0
1105464,838.5,24.9,0
1107477,1205.4,24.3,0
1107675,502,28.9,0
1107677,784.6,27.8,0
1107931,NA,NA,NA
1108137,557.8,25.4,0
1108227,1025.4,27.7,0
1108368,212.9,47.7,0
1115432,306.3,38.1,0
1412786,402,25.6,0
1503147,703.6,23.4,0
BF_M1,11833,16.8,6.1
BF_M2,3500,29.4,20
BF_P1,24000,10.3,2.6
CH-EW-0510-LANG,1561,18.4,9.9
CH-EW-1020-HUC3,2389,11.6,11.3
CH-EW-3040-HOME,1752,19.9,11.2
CH-EWNC-1020-HUC1,3471,11.5,6.1
CH-EWNC-2030-BLAC,1465,15.3,15.7
CH-EWNC-2030-BULW,1720,19.1,10.2
CH-EWNC-2030-FAMN,796,32.8,19.5
CH-EWNC-6000-FAM2,669,26.6,23.2
CH-EWPL-1020-HUC1,1688,17,14.1
CH-EWPL-2030-BLAC,955,21.9,15
CH-EWPL-2030-BULW,350,38,20.3
CH-EWPL-2030-FAMN,1592,17,11.8
CH-EWPL-6000-FAM2,3057,12.8,5.9
CH-NC-0510-LANG,127,0,0
CH-NC-1020-HUC1,5637,11.8,4.4
CH-NC-1020-HUC3,7611,12.3,3.3
CH-NC-2030-BLAC,350,7.6,0.5
CH-NC-2030-BULW,701,7.9,2.9
CH-NC-2030-FAMN,5701,11.7,4.3
CH-NC-3040-HOME,2548,10.3,3.4
CH-NC-6000-FAM2,3917,12.7,6.6
CH-PL-0510-LANG,159,0,0
CH-PL-1020-HUC1,7707,13.2,5.6
CH-PL-1020-HUC3,12739,11.9,3.7
CH-PL-2030-BULW,2229,15,5.5
CH-PL-2030-FAMN,4682,16.8,8.3
CH-PL-3040-HOME,11146,13.5,7
CH-PL-6000-FAM2,7962,12.9,4.5
CS_M1,7000,23.2,21.4
CS_M2,10833,23.9,16.5
CS_M4,8500,24.7,18.8
CS_P1,21000,15.3,6.4
DP_M1,6333,17.5,14
DP_M2,9000,13.2,12.7
DP_M3,3500,23.8,15.2
DP_M4,6667,23.2,17.7
DP_P1,12833,10.5,2.7
DW_M1,7500,24.3,14.6
DW_M2,6000,20.7,11.6
DW_M3,9167,11.1,2.2
DW_M4,12333,14.4,9.3
DW_P1,38667,12,3.4
EA-EWNC-1020-SUGL,2006,15.8,10.4
EA-EWNC-2030-ARG1,924,23.1,13.1
EA-EWNC-2030-WIL2,2229,20.5,8.3
EA-EWNC-3040-WIL3,1911,22.6,13
EA-EWNC-6000-HAYL,987,17.3,10.2
EA-EWNC-6000-WIL4,1529,24.7,15.5
EA-EWPL-1020-SUGL,1210,20.5,14.5
EA-EWPL-3040-WIL3,637,41.6,29.7
EA-EWPL-6000-HAYL,2771,14.2,6.9
EA-EWPL-6000-WIL4,1338,23.8,12.9
EA-NC-0510-ARG2,191,0,0
EA-NC-1020-SUGL,1338,9.5,4.4
EA-NC-2030-ARG1,1242,13.6,7.1
