ID,Hoverflyrichness,Cranefliesrichness,Mothrichness,Source,X,stemDensityHA,dbhMean,dbhSD,bl500_m,aw500_m,nearestBL,nearestAW,area_m,area_ha,Age,Type
56429,0,0,0,WrEN,39,2014,19.2,0,0,0,318,NA,18839.26202,1.883926202,50,PL
182014,2,2,0,WrEN,14,1531,14.2,0,0.02,0,210,NA,19583.11468,1.958311468,10,PL
182458,1,5,0,WrEN,15,296,46.8,0,0.05,0,115,935,13062.97511,1.306297511,90,PL
183278,6,11,0,WrEN,16,333,46.3,0,0.02,0,227,NA,37538.83055,3.753883055,50,PL
183479,0,0,0,WrEN,17,355,54.4,0,0.06,0,20,NA,9519.807258,0.951980726,60,PL
186253,1,7,0,WrEN,18,1321,18.5,0,0.01,0,123,NA,6940.702404,0.69407024,20,PL
186449,0,2,0,WrEN,19,629,34.6,0,0.01,0,350,763,8104.097549,0.810409755,110,PL
186460,0,0,0,WrEN,20,973,21.5,0,0,0,648,NA,21712.26771,2.171226771,80,PL
186969,0,5,0,WrEN,21,757,21.6,0,0,0,608,NA,13784.51846,1.378451846,20,PL
187270,3,3,0,WrEN,22,737,32.7,0,0.06,0,145,423,20296.02491,2.029602491,60,PL
187943,2,4,0,WrEN,23,398,34.4,0,0.03,0,200,NA,46744.81947,4.674481947,110,PL
188912,2,4,0,WrEN,24,1187,24,0,0.04,0,94,NA,26644.20362,2.664420362,110,PL
189455,1,3,0,WrEN,25,398,25.6,0,0.06,0,21,875,112410.8965,11.24108965,30,PL
189594,0,5,0,WrEN,26,527,20.4,0,0.05,0,118,NA,51558.58828,5.155858828,110,PL
189646,1,1,0,WrEN,27,2115,14.1,0,0.06,0,147,NA,198161.4535,19.81614535,20,PL
189934,0,0,0,WrEN,28,906,25,0,0.02,0,10,NA,35440.62826,3.544062826,40,PL
190325,2,7,0,WrEN,29,230,24.4,0,0.12,0.03,10,191,25891.7185,2.58917185,20,PL
190457,0,0,0,WrEN,30,709,23.9,0,0.05,0,143,843,134703.4552,13.47034552,110,PL
190783,1,4,0,WrEN,31,1662,16.2,0,0.04,0,195,NA,24259.46487,2.425946487,20,PL
191362,2,9,0,WrEN,32,290,41.3,0,0,0,581,NA,144495.0708,14.44950708,80,PL
192053,0,4,0,WrEN,33,1287,21.5,0,0.01,0,191,NA,18354.89672,1.835489672,10,PL
192417,1,5,0,WrEN,34,1832,21.4,0,0.03,0,196,NA,53597.94378,5.359794378,40,PL
192446,0,1,0,WrEN,35,639,14.2,0,0.11,0,114,495,106064.3556,10.60643556,40,PL
194918,2,8,0,WrEN,36,1176,8.1,0,0,0,429,NA,18808.8859,1.88088859,10,PL
299021,0,0,0,WrEN,37,568,26.3,0,0.02,0,225,NA,57308.01362,5.730801362,60,PL
305284,6,7,0,WrEN,38,535,23.3,0,0,0,764,NA,46267.52461,4.626752461,30,PL
WT4509,1,2,0,WrEN,41,1034,15.9,0,0.03,0,10,NA,94180.5959,9.41805959,18,PL
WT4688,3,4,0,WrEN,42,863,13.6,0,0.06,0,17,NA,318949.9694,31.89499694,15,PL
WT4691,2,3,0,WrEN,43,4063,10.8,0,0.01,0,10,NA,290863.6855,29.08636855,15,PL
WT4832,0,2,0,WrEN,44,2957,11.3,0,0.01,0,398,NA,72246.13093,7.224613093,11,PL
WT4945,0,5,0,WrEN,45,4037,11.8,0,0.01,0,10,NA,56712.19637,5.671219637,12,PL
WT4975,0,1,0,WrEN,46,1439,14,0,0,0,NA,NA,25299.41284,2.529941284,12,PL
WT5163,4,4,0,WrEN,47,1432,10.8,0,0.08,0.03,10,331,54419.04435,5.441904435,12,PL
WT5210,0,0,0,WrEN,48,2988,12,0,0.01,0,65,NA,70348.83146,7.034883146,10,PL
