,ID,Type,Age,spp,sppWoodland,sppGeneralist,sppSpecialist,Source,stemDensityHA,dbhMean,dbhSD,bl500_m,aw500_m,nearestBL,nearestAW,area_m,area_ha
1,1105056,Mature,250,26,25,18,7,WrEN,279.8,49.3,23.2,0.13,0,24,353,110343.6342,11.03436342
2,1105206,Mature,250,27,26,14,12,WrEN,611.9,28.1,20.3,0.11,0.07,33,86,63203.58422,6.320358422
3,1105464,Mature,250,29,27,15,12,WrEN,838.5,24.9,19,0.03,0.02,170,343,117319.8726,11.73198726
4,1107477,Mature,250,31,30,18,12,WrEN,1205.4,24.3,18.4,0.03,0,304,510,20357.22735,2.035722735
5,1107675,Mature,250,19,17,11,6,WrEN,502,28.9,20.4,0.03,0,172,651,63200.31838,6.320031838
6,1107677,Mature,250,36,34,19,15,WrEN,784.6,27.8,20.3,0.03,0.02,22,10,16828.11917,1.682811917
7,1108137,Mature,250,39,33,27,6,WrEN,557.8,25.4,22.7,0.01,0,242,992,130660.0456,13.06600456
8,1108227,Mature,250,19,19,12,7,WrEN,1025.4,27.7,18.7,0,0,584,576,44053.6053,4.40536053
9,1108368,Mature,250,18,14,11,3,WrEN,212.9,47.7,23.6,0,0,562,NA,21134.8751,2.11348751
10,1115432,Mature,250,16,15,9,6,WrEN,306.3,38.1,20.7,0.08,0.05,108,111,61889.27012,6.188927012
11,1412786,Mature,250,26,26,16,10,WrEN,402,25.6,18,0.01,0,472,NA,54174.47198,5.417447198
12,1503147,Mature,250,13,13,9,4,WrEN,703.6,23.4,14,0.04,0.05,370,370,10944.07075,1.094407075
13,182014,PL,10,20,16,14,2,WrEN,1531,14.2,4.9,0.02,0,210,NA,19583.11468,1.958311468
14,182458,PL,90,14,14,9,5,WrEN,296,46.8,29.3,0.05,0,115,935,13062.97511,1.306297511
15,183278,PL,50,26,22,18,4,WrEN,333,46.3,15.9,0.02,0,227,NA,37538.83055,3.753883055
16,183479,PL,60,25,21,18,3,WrEN,355,54.4,15.3,0.06,0,20,NA,9519.807258,0.951980726
17,186253,PL,20,21,17,14,3,WrEN,1321,18.5,3.9,0.01,0,123,NA,6940.702404,0.69407024
18,186449,PL,110,19,16,13,3,WrEN,629,34.6,13.9,0.01,0,350,763,8104.097549,0.810409755
19,186460,PL,80,18,15,12,3,WrEN,973,21.5,8.2,0,0,648,NA,21712.26771,2.171226771
20,186969,PL,20,11,11,10,1,WrEN,757,21.6,9.4,0,0,608,NA,13784.51846,1.378451846
21,187270,PL,60,18,17,14,3,WrEN,737,32.7,10.4,0.06,0,145,423,20296.02491,2.029602491
22,187943,PL,110,20,19,13,6,WrEN,398,34.4,17.5,0.03,0,200,NA,46744.81947,4.674481947
23,188912,PL,110,17,17,12,5,WrEN,1187,24,10.5,0.04,0,94,NA,26644.20362,2.664420362
24,189455,PL,30,28,24,20,4,WrEN,398,25.6,11.5,0.06,0,21,875,112410.8965,11.24108965
25,189594,PL,110,23,21,15,6,WrEN,527,20.4,12.4,0.05,0,118,NA,51558.58828,5.155858828
26,189646,PL,20,24,20,19,1,WrEN,2115,14.1,4.3,0.06,0,147,NA,198161.4535,19.81614535
27,189934,PL,40,26,23,20,3,WrEN,906,25,8.4,0.02,0,10,NA,35440.62826,3.544062826
28,190325,PL,20,16,16,15,1,WrEN,230,24.4,12.2,0.12,0.03,10,191,25891.7185,2.58917185
29,190457,PL,110,15,15,10,5,WrEN,709,23.9,17.3,0.05,0,143,843,134703.4552,13.47034552
30,190783,PL,20,18,16,13,3,WrEN,1662,16.2,6.7,0.04,0,195,NA,24259.46487,2.425946487
31,191362,PL,80,35,28,22,6,WrEN,290,41.3,6.1,0,0,581,NA,144495.0708,14.44950708
32,192053,PL,10,15,15,14,1,WrEN,1287,21.5,7.3,0.01,0,191,NA,18354.89672,1.835489672
33,192417,PL,40,12,11,11,0,WrEN,1832,21.4,5.4,0.03,0,196,NA,53597.94378,5.359794378
34,192446,PL,40,22,22,15,7,WrEN,639,14.2,4.4,0.11,0,114,495,106064.3556,10.60643556
35,194918,PL,10,32,29,22,7,WrEN,1176,8.1,16.8,0,0,429,NA,18808.8859,1.88088859
36,299021,PL,60,24,21,17,4,WrEN,568,26.3,19.8,0.02,0,225,NA,57308.01362,5.730801362
37,305284,PL,30,30,25,19,6,WrEN,535,23.3,7.7,0,0,764,NA,46267.52461,4.626752461
38,56429,PL,50,26,20,17,3,WrEN,2014,19.2,12.3,0,0,318,NA,18839.26202,1.883926202
39,WT4509,PL,18,33,23,19,4,WrEN,1034,15.9,5.6,0.03,0,10,NA,94180.5959,9.41805959
40,WT4688,PL,15,20,17,15,2,WrEN,863,13.6,5.1,0.06,0,17,NA,318949.9694,31.89499694
41,WT4691,PL,15,32,22,19,3,WrEN,4063,10.8,2.9,0.01,0,10,NA,290863.6855,29.08636855
42,WT4832,PL,11,32,21,16,5,WrEN,2957,11.3,3.3,0.01,0,398,NA,72246.13093,7.224613093
