"","ID","siteEffCan","mean10mEffCan","sd10mEffCan","mean30mEffCan","sd30mEffCan"
"1","1105056",4.15,1.84,1.09,2.33,1.27
"2","1105206",3.82,1.63,1.03,2.03,1.24
"3","1105464",3.82,1.6,0.88,1.86,1.03
"4","1107477",3.17,1.29,0.74,1.58,0.99
"5","1107675",3.55,1.37,0.82,1.71,1.11
"6","1107677",3.8,1.46,0.93,1.92,1.3
"7","1108137",3.93,1.44,0.86,1.76,1.1
"8","1108227",3.82,1.39,0.73,1.68,0.95
"9","1108368",3.85,2,1.27,2.32,1.44
"10","1115432",3.68,1.5,0.86,1.84,1.07
"11","1412786",3.83,1.84,1.01,2.17,1.19
"12","1503147",3.61,1.51,0.91,1.86,1.23
"13","182014",3.07,1.73,1.06,2.04,1.22
"14","182458",4.31,1.83,1.23,2.31,1.54
"15","183278",4.66,1.96,1.16,2.55,1.43
"16","183479",3.64,1.47,0.91,1.91,1.26
"17","186253",3.36,1.69,1.05,2.16,1.32
"18","186449",3.57,1.92,1.27,2.55,1.64
"19","186460",3.65,1.54,0.87,2,1.12
"20","186969",3.42,1.47,0.91,1.82,1.18
"21","187270",3.54,1.51,0.86,1.77,1.01
"22","187818",3.84,2.08,1.39,2.57,1.58
"23","187943",4.16,2.03,1.33,2.34,1.54
"24","188912",3.47,1.55,0.9,2.05,1.15
"25","189455",4.42,1.27,0.74,1.46,1
"26","189594",3.94,1.61,0.96,1.99,1.12
"27","189646",4.52,1.51,1.03,1.73,1.28
"28","189934",4.13,1.39,0.93,1.63,1.21
"29","190325",4.4,1.2,0.65,1.41,0.94
"30","190457",4.18,1.59,0.83,1.94,1.05
"31","190783",4.56,1.95,1.27,2.15,1.48
"32","191362",3.5,1.64,0.84,1.99,0.9
"33","191694",4.25,1.72,1.07,1.97,1.22
"34","192053",3.67,1.48,0.89,1.9,1.2
"35","192145",3.49,1.49,0.9,1.87,1.2
"36","192417",3.21,1.3,0.7,1.58,0.97
"37","192446",3.9,1.27,0.59,1.54,0.89
"38","194918",4.21,1.56,0.96,1.89,1.23
"39","298822",3.82,1.44,0.79,1.65,0.95
"40","299021",4.25,1.63,0.92,2.02,1.16
"41","305284",3.25,1.4,0.84,1.75,1.08
"42","56429",3.84,1.5,0.9,1.91,1.22
"43","BF_M1",4.34,1.82,1.1,2.46,1.51
"44","BF_M2",4.43,1.65,0.9,1.93,1.09
"45","BF_P1",3.4,1.55,0.81,1.88,1.07
"46","CH-EW-0510-LANG",4.01,1.67,1.1,2.12,1.37
"47","CH-EW-1020-HEAR",4.05,1.9,1.24,2.31,1.47
"48","CH-EW-1020-HUC3",3.81,1.75,0.98,1.95,1.11
"49","CH-EW-3040-HOME",3.31,1.4,0.71,1.62,0.89
"50","CH-EWNC-0510-SL01",3.5,1.47,0.73,1.76,1
"51","CH-EWNC-0510-SL02",4.1,1.51,0.92,1.84,1.21
"52","CH-EWNC-1020-HUC1",4.15,1.57,0.94,1.91,1.13
"53","CH-EWNC-2030-BLAC",3.82,1.42,0.77,1.71,0.99
"54","CH-EWNC-2030-BULW",4.43,1.28,0.71,1.53,1.02
"55","CH-EWNC-2030-FAMN",3.43,1.46,0.81,1.74,1
"56","CH-EWNC-6000-FAM2",4.09,1.82,1.06,2.35,1.31
"57","CH-EWNC-6000-NORT",3.16,1.63,1.02,1.93,1.05
"58","CH-EWNC-6000-PRES",3.11,1.33,0.68,1.61,0.98
"59","CH-EWPL-0510-SL12",3.43,1.31,0.73,1.62,1.04
"60","CH-EWPL-1020-HUC1",4.05,1.29,0.68,1.58,0.95
"61","CH-EWPL-2030-BLAC",3.86,1.25,0.66,1.46,0.86
"62","CH-EWPL-2030-BULW",3.97,1.62,1,1.84,1.11
"63","CH-EWPL-2030-FAMN",4.32,1.64,0.94,2.04,1.06
"64","CH-EWPL-6000-FAM2",4.28,1.7,0.92,2.18,1.17
"65","CH-EWPL-6000-NORT",4.12,1.46,0.81,1.76,1.13
"66","CH-EWPL-6000-PRES",3.22,1.2,0.58,1.39,0.81
"67","CH-NC-0510-LANG",3.24,1.33,0.8,1.72,1.13
"68","CH-NC-0510-SL01",3.02,1.27,0.68,1.52,0.93
"69","CH-NC-0510-SL02",2.82,1.29,0.73,1.58,1
"70","CH-NC-1020-HEAR",2.13,1.2,0.61,1.44,0.97
"71","CH-NC-1020-HUC1",4.87,1.77,0.94,2.33,1.26
"72","CH-NC-1020-HUC3",4.32,1.57,0.88,1.84,1.1
"73","CH-NC-2030-BLAC",4.4,1.79,0.91,2.03,1.21
"74","CH-NC-2030-BULW",1.72,1.08,0.33,1.13,0.44
"75","CH-NC-2030-FAMN",4.79,1.6,0.85,1.94,1.09
"76","CH-NC-3040-HOME",3.98,1.61,0.96,1.88,1.15
"77","CH-NC-6000-FAM2",3.9,1.59,0.92,1.95,1.16
"78","CH-NC-6000-NORT",3.55,1.59,1.01,1.91,1.23
"79","CH-NC-6000-PRES",3.81,1.41,0.72,1.72,1.04
"80","CH-PL-0510-LANG",2.64,1.25,0.74,1.51,1.01
"81","CH-PL-0510-SL12",1.38,1.01,0.09,1.01,0.07
"82","CH-PL-1020-HEAR",1.49,1.12,0.46,1.22,0.6
"83","CH-PL-1020-HUC1",4.51,1.5,0.76,1.77,1.06
"84","CH-PL-1020-HUC3",3.65,1.67,0.76,1.96,0.9
"85","CH-PL-2030-BLAC",4.08,1.58,0.95,1.94,1.28
"86","CH-PL-2030-BULW",2.93,1.34,0.72,1.53,0.88
"87","CH-PL-2030-FAMN",4.23,1.5,0.82,1.79,1.07
