"","ID","siteEffStories","mean10mEffStories","sd10mEffStories","mean30mEffStories","sd30mEffStories"
"1","1105056",3.92,3.21,0.81,3.58,0.57
"2","1105206",3.92,3.21,0.81,3.58,0.57
"3","1105464",3.92,3.21,0.81,3.58,0.57
"4","1107477",3.92,3.21,0.81,3.58,0.57
"5","1107675",3.92,3.21,0.81,3.58,0.57
"6","1107677",3.92,3.21,0.81,3.58,0.57
"7","1108137",3.92,3.21,0.81,3.58,0.57
"8","1108227",3.92,3.21,0.81,3.58,0.57
"9","1108368",3.92,3.21,0.81,3.58,0.57
"10","1115432",3.92,3.21,0.81,3.58,0.57
"11","1412786",3.92,3.21,0.81,3.58,0.57
"12","1503147",3.92,3.21,0.81,3.58,0.57
"13","182014",3.92,3.21,0.81,3.58,0.57
"14","182458",3.92,3.21,0.81,3.58,0.57
"15","183278",3.92,3.21,0.81,3.58,0.57
"16","183479",3.92,3.21,0.81,3.58,0.57
"17","186253",3.92,3.21,0.81,3.58,0.57
"18","186449",3.92,3.21,0.81,3.58,0.57
"19","186460",3.92,3.21,0.81,3.58,0.57
"20","186969",3.92,3.21,0.81,3.58,0.57
"21","187270",3.92,3.21,0.81,3.58,0.57
"22","187818",3.92,3.21,0.81,3.58,0.57
"23","187943",3.92,3.21,0.81,3.58,0.57
"24","188912",3.92,3.21,0.81,3.58,0.57
"25","189455",3.92,3.21,0.81,3.58,0.57
"26","189594",3.92,3.21,0.81,3.58,0.57
"27","189646",3.92,3.21,0.81,3.58,0.57
"28","189934",3.92,3.21,0.81,3.58,0.57
"29","190325",3.92,3.21,0.81,3.58,0.57
"30","190457",3.92,3.21,0.81,3.58,0.57
"31","190783",3.92,3.21,0.81,3.58,0.57
"32","191362",3.92,3.21,0.81,3.58,0.57
"33","191694",3.92,3.21,0.81,3.58,0.57
"34","192053",3.92,3.21,0.81,3.58,0.57
"35","192145",3.92,3.21,0.81,3.58,0.57
"36","192417",3.92,3.21,0.81,3.58,0.57
"37","192446",3.92,3.21,0.81,3.58,0.57
"38","194918",3.92,3.21,0.81,3.58,0.57
"39","298822",3.92,3.21,0.81,3.58,0.57
"40","299021",3.92,3.21,0.81,3.58,0.57
"41","305284",3.92,3.21,0.81,3.58,0.57
"42","56429",3.92,3.21,0.81,3.58,0.57
"43","BF_M1",3.92,3.21,0.81,3.58,0.57
"44","BF_M2",3.92,3.21,0.81,3.58,0.57
"45","BF_P1",3.92,3.21,0.81,3.58,0.57
"46","CH-EW-0510-LANG",3.92,3.21,0.81,3.58,0.57
"47","CH-EW-1020-HEAR",3.92,3.21,0.81,3.58,0.57
"48","CH-EW-1020-HUC3",3.92,3.21,0.81,3.58,0.57
"49","CH-EW-3040-HOME",3.92,3.21,0.81,3.58,0.57
"50","CH-EWNC-0510-SL01",3.92,3.21,0.81,3.58,0.57
"51","CH-EWNC-0510-SL02",3.92,3.21,0.81,3.58,0.57
"52","CH-EWNC-1020-HUC1",3.92,3.21,0.81,3.58,0.57
"53","CH-EWNC-2030-BLAC",3.92,3.21,0.81,3.58,0.57
"54","CH-EWNC-2030-BULW",3.92,3.21,0.81,3.58,0.57
"55","CH-EWNC-2030-FAMN",3.92,3.21,0.81,3.58,0.57
"56","CH-EWNC-6000-FAM2",3.92,3.21,0.81,3.58,0.57
"57","CH-EWNC-6000-NORT",3.92,3.21,0.81,3.58,0.57
"58","CH-EWNC-6000-PRES",3.92,3.21,0.81,3.58,0.57
"59","CH-EWPL-0510-SL12",3.92,3.21,0.81,3.58,0.57
"60","CH-EWPL-1020-HUC1",3.92,3.21,0.81,3.58,0.57
"61","CH-EWPL-2030-BLAC",3.92,3.21,0.81,3.58,0.57
"62","CH-EWPL-2030-BULW",3.92,3.21,0.81,3.58,0.57
"63","CH-EWPL-2030-FAMN",3.92,3.21,0.81,3.58,0.57
"64","CH-EWPL-6000-FAM2",3.92,3.21,0.81,3.58,0.57
"65","CH-EWPL-6000-NORT",3.92,3.21,0.81,3.58,0.57
"66","CH-EWPL-6000-PRES",3.92,3.21,0.81,3.58,0.57
"67","CH-NC-0510-LANG",3.92,3.21,0.81,3.58,0.57
"68","CH-NC-0510-SL01",3.92,3.21,0.81,3.58,0.57
"69","CH-NC-0510-SL02",3.92,3.21,0.81,3.58,0.57
"70","CH-NC-1020-HEAR",3.92,3.21,0.81,3.58,0.57
"71","CH-NC-1020-HUC1",3.92,3.21,0.81,3.58,0.57
"72","CH-NC-1020-HUC3",3.92,3.21,0.81,3.58,0.57
"73","CH-NC-2030-BLAC",3.92,3.21,0.81,3.58,0.57
"74","CH-NC-2030-BULW",3.92,3.21,0.81,3.58,0.57
"75","CH-NC-2030-FAMN",3.92,3.21,0.81,3.58,0.57
"76","CH-NC-3040-HOME",3.92,3.21,0.81,3.58,0.57
"77","CH-NC-6000-FAM2",3.92,3.21,0.81,3.58,0.57
"78","CH-NC-6000-NORT",3.92,3.21,0.81,3.58,0.57
"79","CH-NC-6000-PRES",3.92,3.21,0.81,3.58,0.57
"80","CH-PL-0510-LANG",3.92,3.21,0.81,3.58,0.57
"81","CH-PL-0510-SL12",3.92,3.21,0.81,3.58,0.57
"82","CH-PL-1020-HEAR",3.92,3.21,0.81,3.58,0.57
"83","CH-PL-1020-HUC1",3.92,3.21,0.81,3.58,0.57
"84","CH-PL-1020-HUC3",3.92,3.21,0.81,3.58,0.57
"85","CH-PL-2030-BLAC",3.92,3.21,0.81,3.58,0.57
"86","CH-PL-2030-BULW",3.92,3.21,0.81,3.58,0.57
"87","CH-PL-2030-FAMN",3.92,3.21,0.81,3.58,0.57
"88","CH-PL-3040-HOME",3.92,3.21,0.81,3.58,0.57
"89","CH-PL-6000-FAM2",3.92,3.21,0.81,3.58,0.57
"90","CH-PL-6000-NORT",3.92,3.21,0.81,3.58,0.57
"91","CH-PL-6000-PRES",3.92,3.21,0.81,3.58,0.57
"92","CS_M1",3.92,3.21,0.81,3.58,0.57
"93","CS_M2",3.92,3.21,0.81,3.58,0.57
"94","CS_M4",3.92,3.21,0.81,3.58,0.57
"95","CS_P1",3.92,3.21,0.81,3.58,0.57
"96","DP_M1",3.92,3.21,0.81,3.58,0.57
"97","DP_M2",3.92,3.21,0.81,3.58,0.57
"98","DP_M3",3.92,3.21,0.81,3.58,0.57
"99","DP_M4",3.92,3.21,0.81,3.58,0.57
"100","DP_P1",3.92,3.21,0.81,3.58,0.57
"101","DW_M1",3.92,3.21,0.81,3.58,0.57
"102","DW_M2",3.92,3.21,0.81,3.58,0.57
"103","DW_M3",3.92,3.21,0.81,3.58,0.57
"104","DW_M4",3.92,3.21,0.81,3.58,0.57
"105","DW_P1",3.92,3.21,0.81,3.58,0.57
"106","EA-EW-1020-LOSH",3.92,3.21,0.81,3.58,0.57
"107","EA-EWNC-0510-ARG2",3.92,3.21,0.81,3.58,0.57
"108","EA-EWNC-1020-HIGH",3.92,3.21,0.81,3.58,0.57
"109","EA-EWNC-1020-SUGL",3.92,3.21,0.81,3.58,0.57
"110","EA-EWNC-2030-ARG1",3.92,3.21,0.81,3.58,0.57
"111","EA-EWNC-2030-WIL2",3.92,3.21,0.81,3.58,0.57
"112","EA-EWNC-3040-WIL3",3.92,3.21,0.81,3.58,0.57
"113","EA-EWNC-6000-HAYL",3.92,3.21,0.81,3.58,0.57
"114","EA-EWNC-6000-WIL4",3.92,3.21,0.81,3.58,0.57
"115","EA-EWPL-1020-HIGH",3.92,3.21,0.81,3.58,0.57
"116","EA-EWPL-1020-SUGL",3.92,3.21,0.81,3.58,0.57
"117","EA-EWPL-2030-ARG1",3.92,3.21,0.81,3.58,0.57
"118","EA-EWPL-3040-WIL3",3.92,3.21,0.81,3.58,0.57
"119","EA-EWPL-6000-HAYL",3.92,3.21,0.81,3.58,0.57
"120","EA-EWPL-6000-WIL4",3.92,3.21,0.81,3.58,0.57
"121","EA-NC-0510-ARG2",3.92,3.21,0.81,3.58,0.57
"122","EA-NC-1020-HIGH",3.92,3.21,0.81,3.58,0.57
"123","EA-NC-1020-LOSH",3.92,3.21,0.81,3.58,0.57
"124","EA-NC-1020-SUGL",3.92,3.21,0.81,3.58,0.57
"125","EA-NC-2030-ARG1",3.92,3.21,0.81,3.58,0.57
"126","EA-NC-2030-WIL2",3.92,3.21,0.81,3.58,0.57
"127","EA-NC-3040-WIL3",3.92,3.21,0.81,3.58,0.57
"128","EA-NC-6000-HAYL",3.92,3.21,0.81,3.58,0.57
"129","EA-NC-6000-WIL4",3.92,3.21,0.81,3.58,0.57
