"","ID","ttops_chm","ttops_las"
"1","1105056",517,512
"2","1105206",384,347
"3","1105464",662,634
"4","1107477",122,127
"5","1107675",305,311
"6","1107677",65,71
"7","1108137",554,581
"8","1108227",298,249
"9","1108368",130,118
"10","1115432",334,321
"11","1412786",403,326
"12","1503147",47,51
"13","182014",148,154
"14","182458",74,64
"15","183278",227,224
"16","183479",59,60
"17","186253",60,50
"18","186449",55,54
"19","186460",146,128
"20","186969",91,95
"21","187270",158,128
"22","187818",136,144
"23","187943",316,316
"24","188912",167,168
"25","189455",764,831
"26","189594",272,258
"27","189646",1428,1529
"28","189934",212,220
"29","190325",175,173
"30","190457",795,806
"31","190783",187,242
"32","191362",969,979
"33","191694",661,506
"34","192053",124,138
"35","192145",80,86
"36","192417",378,415
"37","192446",647,799
"38","194918",111,127
"39","298822",527,580
"40","299021",332,313
"41","305284",335,373
"42","56429",119,134
"43","BF_M1",74,65
"44","BF_M2",188,172
"45","BF_P1",160,118
"46","CH-EW-0510-LANG",331,371
"47","CH-EW-1020-HEAR",542,562
"48","CH-EW-1020-HUC3",155,163
"49","CH-EW-3040-HOME",175,162
"50","CH-EWNC-0510-SL01",295,330
"51","CH-EWNC-0510-SL02",187,211
"52","CH-EWNC-1020-HUC1",59,64
"53","CH-EWNC-2030-BLAC",578,615
"54","CH-EWNC-2030-BULW",203,154
"55","CH-EWNC-2030-FAMN",215,233
"56","CH-EWNC-6000-FAM2",208,235
"57","CH-EWNC-6000-NORT",266,250
"58","CH-EWNC-6000-PRES",76,64
"59","CH-EWPL-0510-SL12",104,114
"60","CH-EWPL-1020-HUC1",76,81
"61","CH-EWPL-2030-BLAC",127,109
"62","CH-EWPL-2030-BULW",350,322
"63","CH-EWPL-2030-FAMN",53,54
"64","CH-EWPL-6000-FAM2",192,210
"65","CH-EWPL-6000-NORT",153,162
"66","CH-EWPL-6000-PRES",52,49
"67","CH-NC-0510-LANG",32,42
"68","CH-NC-0510-SL01",34,15
"69","CH-NC-0510-SL02",8,6
"70","CH-NC-1020-HEAR",7,2
"71","CH-NC-1020-HUC1",77,48
"72","CH-NC-1020-HUC3",43,39
"73","CH-NC-2030-BLAC",400,75
"74","CH-NC-2030-BULW",246,95
"75","CH-NC-2030-FAMN",337,292
"76","CH-NC-3040-HOME",253,240
"77","CH-NC-6000-FAM2",72,77
"78","CH-NC-6000-NORT",197,191
"79","CH-NC-6000-PRES",84,85
"80","CH-PL-0510-LANG",17,14
"81","CH-PL-0510-SL12",0,0
"82","CH-PL-1020-HEAR",11,26
"83","CH-PL-1020-HUC1",58,65
"84","CH-PL-1020-HUC3",329,347
"85","CH-PL-2030-BLAC",71,101
"86","CH-PL-2030-BULW",81,96
"87","CH-PL-2030-FAMN",137,150
"88","CH-PL-3040-HOME",181,223
"89","CH-PL-6000-FAM2",58,65
"90","CH-PL-6000-NORT",112,128
"91","CH-PL-6000-PRES",486,509
"92","CS_M1",366,358
"93","CS_M2",46,45
"94","CS_M4",57,57
"95","CS_P1",460,605
"96","DP_M1",171,156
"97","DP_M2",258,262
"98","DP_M3",808,805
"99","DP_M4",122,110
"100","DP_P1",31,5
"101","DW_M1",113,116
"102","DW_M2",218,217
"103","DW_M3",454,481
"104","DW_M4",252,255
"105","DW_P1",222,232
"106","EA-EW-1020-LOSH",36,28
"107","EA-EWNC-0510-ARG2",255,274
"108","EA-EWNC-1020-HIGH",372,386
"109","EA-EWNC-1020-SUGL",622,650
"110","EA-EWNC-2030-ARG1",432,425
"111","EA-EWNC-2030-WIL2",278,257
"112","EA-EWNC-3040-WIL3",275,234
"113","EA-EWNC-6000-HAYL",2821,2839
"114","EA-EWNC-6000-WIL4",794,641
"115","EA-EWPL-1020-HIGH",31,37
"116","EA-EWPL-1020-SUGL",3797,3579
"117","EA-EWPL-2030-ARG1",290,282
"118","EA-EWPL-3040-WIL3",95,104
"119","EA-EWPL-6000-HAYL",2263,2430
"120","EA-EWPL-6000-WIL4",563,551
"121","EA-NC-0510-ARG2",19,15
"122","EA-NC-1020-HIGH",37,16
"123","EA-NC-1020-LOSH",123,133
"124","EA-NC-1020-SUGL",117,45
"125","EA-NC-2030-ARG1",499,561
"126","EA-NC-2030-WIL2",121,22
"127","EA-NC-3040-WIL3",123,134
"128","EA-NC-6000-HAYL",155,153
"129","EA-NC-6000-WIL4",245,248
"130","EA-PL-1020-HIGH",56,59
"131","EA-PL-1020-LOSH",51,64
"132","EA-PL-1020-SUGL",43,14
"133","EA-PL-2030-ARG1",179,89
"134","EA-PL-3040-WIL3",188,223
"135","EA-PL-6000-HAYL",481,516
"136","EA-PL-6000-WIL4",441,432
"137","FF_M1",268,278
"138","FF_M2",36,41
"139","FF_P1",52,59
"140","FL_M1",813,794
